#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Murder On The Dancefloor","Sophie Ellis-Bextor",2,117,"","","Read My Lips",2002-01-01,03:50,73,85,0,0,86,0,30,-5,C♯/D♭ minor,4,2024-02-14,0ndXb2CwhrqtyHK6o6eVNd,"Polydor Records",12A,GBAKW0100229
2,"Dog Days Are Over","Florence + The Machine",83,150,"baroque pop","Classical, Pop","Lungs (Deluxe Version)",2009-00-00,04:12,50,81,3,1,26,0,10,-5,G,4,2024-02-14,456WNXWhDwYOSf5SpTuqxd,"Universal-Island Records Ltd.",9B,GBUM70900209
3,"Say It Right","Nelly Furtado",84,117,"","","Loose",2006-01-01,03:43,87,87,5,0,81,10,0,-6,C♯/D♭,4,2024-02-14,2aI21FnmY7TJVKeMaoQZ0t,"Mosley / Geffen",3B,USUM70603368
4,"Where Is The Love?","Black Eyed Peas",3,94,"","","Elephunk",2003-00-00,04:32,83,70,11,0,80,20,10,-3,F,4,2024-02-14,3CNqo3gYrfexdrtjFmC9he,"A&M",7B,USIR10311862
5,"Walking On A Dream","Empire Of The Sun",87,127,"","","Walking On A Dream (10th Anniversary Edition)",2008-10-03,03:18,87,70,26,0,72,0,0,-6,F minor,4,2024-02-14,5r5cp9IpziiIsR6b93vcnQ,"EMI Recorded Music Australia Pty Ltd",4A,AUEI10800039
6,"Just Dance","Lady Gaga,Colby O'Donis",87,119,"art pop, pop, ","Pop","The Fame",2008-01-01,04:01,82,74,3,0,75,0,10,-5,C♯/D♭ minor,4,2024-02-14,1dzQoRqT5ucxXVaAhTcT0J,"Streamline/Interscope",12A,USUM70807646
7,"So Sick","Ne-Yo",81,93,"","","In My Own Words",2006-01-01,03:27,45,57,25,0,58,30,10,-8,F#/G♭,4,2024-02-14,6brl7bwOHmGFkNw3MBqssT,"Def Soul",2B,USUM70501633
8,"You've Got The Love","Florence + The Machine",80,110,"baroque pop","Classical, Pop","Lungs (Deluxe Version)",2009-00-00,02:48,57,69,0,0,40,0,10,-5,F#/G♭,4,2024-02-14,244AvzGQ4Ksa5637JQu5Gy,"Universal-Island Records Ltd.",2B,GBUM70900237
9,"Winter Wind","Roberto Bocchetti",16,144,"","","Winter Wind",2024-01-19,02:39,72,66,2,18,50,0,10,-10,F#/G♭,4,2025-05-06,0jR0YrEYeiGtbzkDr8rFSd,"Roberto Bocchetti",2B,QZFYX2450270
10,"Love","Keyshia Cole",84,117,"r&b","R&B","The Way It Is",2005-01-01,04:15,69,52,6,0,31,0,10,-4,F,4,2024-02-14,0W4NhJhcqKCqEP2GIpDCDq,"A&M (UC)",7B,USAM10500210
11,"Track for Luigi","Disintegration C.E.",18,126,"","","Track for Luigi",2024-12-28,04:34,83,72,11,0,52,0,30,-8,G,4,2025-05-12,1IxmE4Izc0F9dpCAoI4mct,"Kites & Nights",9B,GXF9Q2536000
12,"Young Folks","Peter Bjorn and John",81,138,"indie","Pop, Rock","Writer's Block",2006-01-01,04:36,70,81,2,0,66,0,10,-6,C,4,2024-02-14,4dyx5SzxPPaD8xQIid5Wjj,"Universal Music AB",8B,SEBPA0600024
13,"Bananza (Belly Dancer)","Akon",0,105,"","","Trouble",2004-01-01,03:58,88,70,3,0,67,10,70,-6,A#/B♭ minor,4,2024-02-14,0dNPpDFdvzj6XFIRzg2hmp,"SRC Records",3A,USUR10300501
14,"Летний вечер","Olga Neff",22,130,"","","Летний вечер",2025-05-07,03:56,95,48,12,10,96,0,10,-10,D minor,4,2025-05-12,6LS8BmOXEaBzNsrLDv9yhO,"Olga Neff",7A,QZS642576072
15,"Family Affair","Mary J. Blige",83,93,"r&b","R&B","No More Drama",2001-08-28,04:25,91,55,13,0,97,0,0,-4,G#/A♭ minor,4,2024-02-14,3aw9iWUQ3VrPQltgwvN9Xu,"Uptown",1A,USMC10111369
16,"Wanna Dance","BRUNSWICK",29,174,"","","Wanna Dance",2025-02-28,02:56,62,96,0,71,23,0,0,-2,B,4,2025-05-15,7qmTvf6n4j0jGziwbR58uR,"BRUNSWICK",1B,QZHN32526394
17,"Drop It Like It's Hot","Snoop Dogg,Pharrell Williams",3,92,"g-funk, west coast hip hop, gangster rap, hip hop, rap, ","Hip Hop, R&B","R&G (Rhythm & Gangsta): The Masterpiece",2004-01-01,04:26,89,63,17,0,68,20,10,-4,C♯/D♭,4,2024-02-14,70ludZZEUJy1aFVkPI0Kpi,"Geffen",3B,USMC10400640
18,"Mr. Brightside","The Killers",8,148,"alternative rock","Rock","Hot Fuss",2004-06-15,03:42,35,93,0,0,24,0,10,-4,C♯/D♭,4,2024-02-14,0eGsygTp906u18L0Oimnem,"Universal Music Group",3B,USIR20400274
19,"Fair","WiLL",33,94,"","","Fair",2025-03-27,02:57,55,53,20,0,55,0,10,-7,F minor,4,2025-05-05,5nRlmSYEqd5cFWcQWGTNye,"8989579 Records DK",4A,QZK6J2594292
20,"Promiscuous","Nelly Furtado,Timbaland",88,114,"","","Loose",2006-01-01,04:02,81,97,6,0,87,0,10,-6,A#/B♭ minor,4,2024-02-14,2gam98EZKrF9XuOkU13ApN,"Mosley / Geffen",3A,USUM70603473
21,"South of Monterey","Jas Stewart",8,105,"","","South of Monterey",2025-05-06,04:06,67,66,50,2,53,0,10,-8,E,4,2025-05-19,4NOCQD7sdQhg9Dm7rFud8x,"Finnobiwon Publishing LLC",12B,US6W32400096
22,"Always On Time","Ja Rule,Ashanti",11,97,"east coast hip hop, r&b","Hip Hop, R&B","Pain Is Love",2001-01-01,04:05,84,71,21,0,84,20,20,-6,F minor,4,2024-02-14,4hrae8atte6cRlSC9a7VCO,"RAL (Rush Associated Label)",4A,USDJ20110760
