Artist,Song,Key,BPM,Camelot,Popularity,Energy,Danceability,Hapiness
Coi Leray,Lonely Fans,C# Major,78,3B,19,71,57,58
COIN,Talk Too Much,E Major,104,12B,68,89,60,48
Colbie Caillat,Fallin' For You,E Major,117,12B,59,83,64,59
Colbie Caillat,I Do,A Major,145,11B,54,88,66,96
Cold War Kids,First,D Major,78,10B,68,69,47,56
Cold War Kids,Saint John,E Major,174,12B,37,91,49,54
Cold War Kids,Hang Me Up To Dry,A Minor,92,8A,65,92,51,65
Coldplay,Yellow,B Major,173,1B,93,66,43,28
Coldplay,Higher Power,B♭ Major,178,6B,68,83,51,49
Coldplay,feelslikeimfallinginlove,C Major,121,8B,72,54,63,28
Coldplay,Trouble,B Minor,140,10A,76,55,56,20
Coldplay,Violet Hill,C# Minor,76,12A,67,58,33,11
Cole Swindell,Forever To Me,B♭ Major,154,6B,69,56,56,33
Cole Swindell,We Can Always Move On,B♭ Major,119,6B,63,79,65,51
Cole Swindell,Chillin' It,A Major,138,11B,67,85,58,67
Colter Wall,Motorcycle,G Major,85,9B,66,43,68,62
Colter Wall,Cowpoke,C Major,122,8B,71,37,48,29
Comethazine,SOLVED THE PROBLEM,B♭ Minor,98,3A,63,70,93,69
Conan Gray,People Watching,F Major,126,7B,74,59,53,54
"Cookin Soul, Mac Miller",Come On Baby,C# Minor,91,12A,45,92,61,44
Cordae,Have Mercy,C Minor,138,5A,60,44,79,28
Corey Hart,Sunglasses At Night,B♭ Minor,127,3A,61,62,67,72
Corinne Bailey Rae,Is This Love,G Minor,124,6A,56,33,68,33
CORPSE,life waster,D Minor,122,7A,56,82,68,16
"CORPSE, Savage Ga$p",E-GIRLS ARE RUINING MY LIFE!,C# Major,85,3B,66,94,61,39
Creed,What's This Life For,G Major,142,9B,63,78,39,20
Creedence Clearwater Revival,Bad Moon Rising,D Major,179,10B,81,77,51,94
Creedence Clearwater Revival,Proud Mary,D Major,121,10B,76,64,70,73
Creeds,Push Up - Main Edit,G Major,75,9B,80,83,77,19
"Curren$y, Freddie Gibbs",Stash House,C# Major,92,3B,26,59,68,71
Curtis Mayfield,Move On Up,B Minor,139,10A,62,97,54,93
Cyndi Lauper,Girls Just Want to Have Fun,F# Major,120,2B,84,80,71,73
"CZARFACE, MF DOOM",Mando Calrissian,C Major,178,8B,47,71,40,40
D.O.D,Sleepless,F# Minor,126,11A,62,72,45,64
d4vd,Romantic Homicide,F# Major,132,2B,88,54,57,22
d4vd,Take Me To The Sun,F# Minor,178,11A,68,73,45,55
"DaBaby, Lil Baby, Moneybagg Yo",TOES (feat. Lil Baby & Moneybagg Yo),A♭ Major,160,4B,67,58,82,54
Daddy Yankee,Limbo,G Major,125,9B,79,87,81,92
Dan Croll,From Nowhere,A♭ Minor,88,1A,52,88,63,66
Daniel Caesar,A Cappella,A Minor,71,8A,59,31,24,12
"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),G Major,75,9B,86,37,52,44
Daniel Thrasher,Once Upon a Paradise,B♭ Minor,130,3A,32,12,42,8
Danny & The Juniors,At The Hop,A♭ Major,192,4B,62,83,41,89
Danny Norbury,The Morning Star,F# Major,71,2B,24,4,26,10
Daryl Hall & John Oates,Maneater,B Minor,89,10A,84,50,72,82
Daryl Hall & John Oates,You Make My Dreams (Come True),F Major,167,7B,83,50,75,90
Daryl Hall & John Oates,I Can Dream About You,A Major,110,11B,35,74,71,89
Daryl Hall & John Oates,I Can't Go For That (No Can Do),F Minor,111,4A,38,49,85,97
Daryl Hall & John Oates,Adult Education,A Minor,91,8A,54,75,66,93
Daughter,Medicine,E♭ Major,95,5B,67,32,22,19
Dave Matthews Band,Crash into Me,E Major,101,12B,69,68,54,56
David Archuleta,Crush,C Minor,162,5A,69,66,57,49
David Bowie,The Man Who Sold the World - 2015 Remaster,D Minor,118,7A,66,39,47,55
David Bowie,Modern Love - 2018 Remaster,C Major,183,8B,71,94,36,94
"David Guetta, Alexander Ryberg, Taped Rai, Tom Liljegren",Just One Last Time (feat. Taped Rai),A♭ Major,128,4B,39,81,53,21
"David Guetta, Rihanna",Who's That Chick? (feat. Rihanna),B Minor,128,10A,63,60,68,93
"David Guetta, Sia",Titanium (feat. Sia),C Minor,126,5A,75,79,60,30
"David Guetta, Sia",Beautiful People,A Minor,127,8A,86,76,74,42
David Kushner,Burn,C Major,126,8B,66,41,57,13
David Kushner,Mr. Forgettable,A♭ Minor,145,1A,71,41,56,29
David Kushner,Daylight,F Major,130,7B,84,43,51,31
"David Wise, Video Games Live",Dk Jungle Swing,A Minor,200,8A,23,27,46,41
"Davido, Chris Brown",Titanium (feat. Chris Brown),F Minor,102,4A,73,79,54,70
Dayglow,Close To You,F# Major,140,2B,68,65,88,83
DDG,I'm Geekin,A Major,113,11B,63,54,84,32
"DDG, OG Parker, Coi Leray",Impatient (feat. Coi Leray),C Minor,110,5A,49,32,93,47
De Lorra,T I L T,C Major,110,8B,37,57,51,13
De Lorra,K A T A N A,B Major,90,1B,18,68,64,25
Dean Lewis,How Do I Say Goodbye,A♭ Major,82,4B,78,64,40,39
Dean Martin,Everybody Loves Somebody,E♭ Major,119,5B,70,39,37,46
Declan McKenna,Hallucinate - BBC Live Version,D Major,117,10B,31,26,49,25
Declan McKenna,Sympathy,F Major,114,7B,42,79,67,84
Declan McKenna,Brazil,E Major,121,12B,83,62,69,67
Default,Wasting My Time,D Major,148,10B,39,77,44,17
Deftones,Mascara,F Minor,78,4A,77,45,47,5
Deftones,Hole in the Earth,F# Minor,206,11A,70,94,14,30
Deftones,Sextape,F Major,90,7B,82,63,37,10
Demi Lovato,Made In The USA,A♭ Major,87,4B,54,86,58,59
"Demi Lovato, Joe Jonas",This Is Me,C# Major,91,3B,40,83,45,56
Depeche Mode,Just Can't Get Enough,C Major,128,8B,77,77,77,92
DESTIN CONRAD,IN THE AIR,A♭ Major,115,4B,60,39,79,26
Destiny's Child,Girl,F# Minor,89,11A,56,75,57,56
Dexys Midnight Runners,Come On Eileen,D Major,107,10B,80,66,45,78
Diana Ross,I'm Coming Out,F Major,110,7B,75,83,72,77
Diego Torres,Color Esperanza,G Major,101,9B,69,88,62,77
"Dimitri Vegas & Like Mike, Timmy Trumpet, Edward Maya",Feel Your Love,A♭ Minor,125,1A,55,73,69,41
"Diplo, HUGEL, Julia Church",Stay High (feat. Julia Church),E Minor,128,9A,59,82,71,32
"Diplo, Jessie Murph, Polo G",Heartbroken (feat. Jessie Murph & Polo G),D Major,147,10B,72,59,67,63
Dire Straits,Brothers In Arms - Remastered 1996,A♭ Minor,79,1A,73,30,40,14
Dire Straits,Walk Of Life - Remastered 1996,E Major,172,12B,78,92,46,78
Disclosure,Afterthought,A Major,120,11B,37,74,72,47
"Disclosure, Eliza Doolittle",You & Me,B♭ Minor,130,3A,45,88,74,69
"Disclosure, Sam Smith",Latch,C# Major,122,3B,84,73,50,53
Disco Lines,Baby Girl,D Major,121,10B,69,91,73,25
"Distrion, Electro-Light",Drakkar,B Minor,128,10A,45,91,73,49
Division Street,"Lost, but Seeking",A♭ Minor,105,1A,33,54,70,35
"DJ Khaled, Drake",POPSTAR (feat. Drake),F Minor,163,4A,65,56,80,47
"DJ Scheme, Juice WRLD",Buck 50,C# Major,144,3B,61,54,66,15
"DJ Snake, Lil Jon",Turn Down for What,C# Minor,100,12A,73,80,82,8
"DJ Snake, Rick Ross, Rich Brian",Run It (feat. Rick Ross & Rich Brian),D Major,104,10B,61,73,69,23
"DJ Snake, Selena Gomez",Selfish Love (with Selena Gomez),F Minor,111,4A,59,65,72,44
Djo,End of Beginning,D Major,160,10B,91,45,69,91
Dmitry Evgrafov,Flutter,C# Major,205,3B,31,9,19,14
Dmitry Evgrafov,Unasked Questions,C Minor,102,5A,34,1,35,5
DNCE,Be Mean,A Major,94,11B,41,75,70,52
DNCE,Zoom,A♭ Major,125,4B,33,73,68,68
"do not resurrect, KEDALOS",Sarcophagus,B Major,95,1B,50,73,54,17
"Doe Boy, Roddy Ricch",REAL RECOGNIZE REAL (feat. Roddy Ricch),F Minor,154,4A,45,43,82,53
Doja Cat,Boss Bitch,B♭ Minor,126,3A,78,96,71,57
"Doja Cat, JID",Options (feat. JID),G Major,133,9B,62,52,84,28
"Doja Cat, Young Thug",Payday (feat. Young Thug),C# Major,169,3B,57,71,62,56
Dolly Parton,Jolene,C# Minor,111,12A,74,54,67,81
Dom Corleo,Penthouse Shordy,C# Minor,132,12A,64,77,68,57
"Dom Dolla, Clementine Douglas",Miracle Maker,B♭ Major,128,6B,68,94,61,24
"Dom Dolla, Tove Lo",CAVE (with Tove Lo),F# Minor,88,11A,66,67,49,11
Dominic Fike,Frisky,A Major,97,11B,68,48,86,81
Dominic Fike,Superstar Sh*t,E Minor,70,9A,68,39,76,20
Dominic Fike,3 Nights,G Minor,152,6A,79,52,82,88
Dominic Fike,She Wants My Money,A Major,129,11B,66,48,70,42
Dominic Fike,How Much Is Weed?,C# Major,154,3B,70,81,69,54
Dominic Fike,misses,D Major,120,10B,78,51,58,59
"Don Diablo, Zak Abel",Bad,C Major,124,8B,60,74,79,67
Don Omar,Guaya Guaya,G Major,92,9B,80,87,79,70
Don Toliver,After Party,F Major,163,7B,76,69,63,45
Don Toliver,No Idea,F# Minor,128,11A,83,63,65,35
Don Toliver,Cardigan,E Minor,142,9A,79,50,75,7
"Don Toliver, Travis Scott",You (feat. Travis Scott),C# Minor,118,12A,77,53,78,39
Donavon Frankenreiter,Free,F Major,125,7B,64,46,79,85
Dove Cameron,Boyfriend,G Minor,180,6A,72,61,35,23
Dr. Dog,That Old Black Hole,B Major,101,1B,37,88,53,64
"Dr. Dre, Eminem, Xzibit",What's The Difference,B Minor,92,10A,78,82,77,77
Drake,Massive,E Minor,125,9A,70,67,50,6
Drake,Jorja Interlude,B Major,123,1B,64,37,74,24
Drake,Circadian Rhythm,C# Minor,146,12A,79,57,69,29
Drake,Nothings Into Somethings,B Minor,97,10A,65,23,77,26
Drake,Can’t Take A Joke,B♭ Minor,174,3A,66,60,76,45
"Drake, GIVĒON",Chicago Freestyle (feat. Giveon),B♭ Major,123,6B,80,45,74,4
"Drake, Majid Jordan",Summers Over Interlude,E Minor,132,9A,74,26,70,24
"Drake, Majid Jordan","Hold On, We're Going Home",F# Minor,100,11A,78,41,77,29
Drayton Farley,Pitchin' fits,A Major,149,11B,59,27,43,34
Dreamcatcher,BEcause,E Minor,170,9A,54,94,55,46
Drew Holcomb & The Neighbors,Find Your People,F Major,87,7B,64,53,68,49
DripReport,Skechers,C# Major,100,3B,67,33,90,27
Dua Lipa,New Rules,A Minor,116,8A,64,70,76,61
Dua Lipa,Last Dance,A♭ Minor,136,1A,23,58,59,38
Dua Lipa,Be the One,G Minor,87,6A,52,65,66,37
Dubdogz,Techno Prank,D Major,124,10B,62,81,74,12
Duki,Ticket,A Major,90,11B,56,75,55,55
"Duki, Bizarrap",Malbec,A Minor,123,8A,69,69,71,44
Duran Duran,Hungry Like the Wolf - 2009 Remaster,C Major,128,8B,76,81,69,69
Duran Duran,Rio - 2009 Remaster,A Major,141,11B,65,87,54,68
"Dvicio, Taburete",5 Sentidos,F Major,176,7B,56,73,64,66
"dvsn, Ty Dolla $ign, Mac Miller",I Believed It (feat. Mac Miller),C# Minor,145,12A,48,70,52,70
Dylan Gossett,Tree Birds,G Major,180,9B,64,67,46,62
Dylan Gossett,Somewhere Between,G Major,145,9B,58,78,38,24
Dylan Scott,My Girl,C# Major,95,3B,70,72,65,24
Dynoro,Hangover,F Major,128,7B,59,83,70,15
Eagles,Hotel California - 2013 Remaster,D Major,147,10B,87,51,58,61
Eagles,Life in the Fast Lane - 2013 Remaster,A Major,110,11B,75,76,67,88
"Earl Sweatshirt, RZA",Molasses (feat. RZA),C# Major,79,3B,60,76,50,81
"Earth, Wind & Fire, The Emotions",Boogie Wonderland,D Minor,132,7A,82,76,80,96
EBK Jaaybo,Boogieman,F Minor,90,4A,72,54,72,67
Ed Sheeran,Galway Girl,A Major,100,11B,83,88,62,78
Ed Sheeran,Tenerife Sea,A♭ Major,122,4B,57,35,53,36
Ed Sheeran,Shape of You,C# Minor,96,12A,91,65,83,93
Ed Sheeran,Give Me Love,C# Major,116,3B,71,33,53,11
"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),F Minor,93,4A,73,65,64,55
Eem Triplin,AWKWARD FREESTYLE,C# Major,158,3B,65,49,67,15
Electric Light Orchestra,Mr. Blue Sky,B♭ Major,178,6B,82,34,39,48
Electric Light Orchestra,Last Train to London,G Major,121,9B,76,54,73,95
Electric Light Orchestra,Livin' Thing,C Major,123,8B,74,65,55,37
Electric Light Orchestra,Evil Woman,A Minor,120,8A,63,62,68,74
Electric Light Orchestra,All Over the World,D Major,124,10B,54,75,66,80
Eli Young Band,Even If It Breaks Your Heart,C Major,208,8B,71,53,50,57
Eli Young Band,Love Ain't,B Major,98,1B,65,86,60,72
Ella Boh,a little bit,C# Minor,81,12A,61,71,61,33
Ella Mai,Naked - Bonus Track,A Major,175,11B,68,39,36,57
Ella Mai,Boo'd Up,B♭ Minor,82,3A,63,84,57,23
Ella Mai,My Way,F Major,100,7B,59,46,81,19
Ellie Goulding,How Long Will I Love You,C Major,126,8B,70,30,51,17
Ellie Goulding,Goodness Gracious,E Major,115,12B,37,79,58,60
Ellie Goulding,My Blood,A Minor,87,8A,68,59,48,31
"Ellie Goulding, Diplo, Swae Lee",Close To Me,C# Minor,144,12A,66,75,57,48
Elliott Smith,Angeles,E Minor,118,9A,59,10,53,60
Elton John,Bennie And The Jets - Remastered 2014,C Major,133,8B,78,67,67,78
Elton John,Daniel,C Major,132,8B,72,48,69,90
Elton John,I Guess That's Why They Call It The Blues,C Major,121,8B,73,66,67,67
Elton John,Crocodile Rock,E Minor,150,9A,76,80,62,97
Elvis Presley,Stuck On You,G Major,132,9B,58,68,65,96
Emile Mosseri,Jacob and the Stone,C# Major,84,3B,76,17,19,11
Empire Of The Sun,Half Mast,C Major,127,8B,71,74,78,78
Empire Of The Sun,Friends,A♭ Minor,120,1A,49,76,50,46
Endor,Pump It Up,C# Major,129,3B,74,89,90,65
Eric Bellinger,Drive By,C# Minor,128,12A,71,62,42,48
"Eric Bellinger, Fetty Wap, 2 Chainz",Valet (feat. Fetty Wap and 2 Chainz),C# Major,94,3B,58,53,75,33
Eric Church,Springsteen,D Major,104,10B,79,81,69,93
Eric Church,Hell Of A View,F Major,99,7B,67,59,69,92
Eric Reprid,80 Proof,G Major,81,9B,44,62,70,31
Eric Reprid,Get More,F# Minor,120,11A,44,55,89,44
"Erick Porta, Tony Pérez",No Hay Santo Como El Señor,A Minor,156,8A,41,89,55,54
"ERNEST, Lainey Wilson",Would If I Could (feat. Lainey Wilson),F# Major,90,2B,64,47,61,31
"ERNEST, Morgan Wallen",Flower Shops (feat. Morgan Wallen),G Major,128,9B,77,46,54,23
ESCALA & TION,Give It to Me,A♭ Minor,172,1A,29,82,55,49
Estelle,So Much out the Way,C# Major,94,3B,23,81,72,52
Etta James,A Sunday Kind Of Love,D Minor,86,7A,74,28,42,40
Evan Honer,You'd Never Know,B♭ Minor,88,3A,53,46,55,33
"Evan Honer, Wyatt Flores",Take Me As I Come,D Major,150,10B,68,40,51,39
Eve,Tambourine,C# Major,103,3B,70,85,82,57
Eve 6,Inside Out,B Major,176,1B,69,82,48,69
EVERGLOW,ZOMBIE,E Minor,122,9A,53,60,76,38
Evgeny Grinko,Serenade,E Minor,201,9A,52,31,13,25
F.R. David,Words - Original Version 1983,B♭ Minor,124,3A,77,78,54,54
"Fabich, Pastel, Jafunk, Bambie",Ecstasy,E Minor,120,9A,56,79,66,56
Faith No More,Epic,E Minor,174,9A,68,89,36,26
Famous Dex,JAPAN,F# Major,176,2B,66,68,73,84
"Famous Dex, A$AP Rocky",PICK IT UP (feat. A$AP Rocky),C# Major,136,3B,65,47,92,29
Fanny Lu,No Te Pido Flores,C# Major,104,3B,62,85,73,87
Fantasia,When I See U,A♭ Major,93,4B,73,60,57,75
"Far East Movement, Ryan Tedder, Ruff Loaderz",Rocketeer,E Minor,96,9A,72,85,66,36
"Fat Joe, Remy Ma, French Montana, InfaRed",All The Way Up (feat. Infared),B♭ Minor,175,3A,63,81,41,41
"Fatboibari, dhan",Chill Calling,A♭ Major,103,4B,45,27,52,35
Father John Misty,Real Love Baby,G Major,204,9B,81,69,42,63
Fergie,Barracuda,B Minor,136,10A,44,96,53,26
Fergie,Big Girls Don't Cry (Personal),G Major,113,9B,72,64,71,25
Fergie,London Bridge,C# Major,91,3B,67,61,77,63
Fernando Velázquez,Ojalá Tuviera Cien Años,B Minor,96,10A,35,3,12,3
Fifth Harmony,I'm In Love With a Monster,F# Minor,145,11A,36,81,67,87
"Fimiguerrero, YT",MVP,B Major,197,1B,64,80,52,39
Fine Young Cannibals,She Drives Me Crazy,D Major,109,10B,77,69,80,97
Finger Eleven,One Thing,C# Major,152,3B,63,56,59,45
FINNEAS,Flume - Spotify Singles,C Major,125,8B,42,7,34,10
FINNEAS,I'm in Love Without You,G Major,120,9B,48,52,61,32
Fireboy DML,Peru,G Minor,108,6A,64,42,95,63
First Aid Kit,My Silver Lining,D Major,102,10B,65,73,48,43
First Aid Kit,Wolf,A♭ Major,102,4B,59,75,52,42
Fish in a Birdcage,Rule #21 - Momento Mori,B Minor,110,10A,62,38,89,68
"FISHER, Aatig",Take It Off,C# Major,127,3B,57,71,88,58
Fitz and The Tantrums,MoneyGrabber,A Minor,113,8A,20,90,70,79
Fitz and The Tantrums,The Walker,A Minor,131,8A,64,80,77,73
Fitz and The Tantrums,Out of My League,A Minor,170,8A,79,97,55,53
"fkbambam, Luga",VACATION,C Major,127,8B,45,69,84,69
Flatland Cavalry,Mountain Song,B Major,92,1B,64,44,52,21
Fleetwood Mac,Silver Springs - 2004 Remaster,C Major,179,8B,79,58,35,43
Fleetwood Mac,Never Going Back Again - 2004 Remaster,F# Major,176,2B,72,34,65,95
Fleetwood Mac,Dreams - 2004 Remaster,C Major,120,8B,90,49,83,79
Fleetwood Mac,Seven Wonders - 2017 Remaster,E Major,119,12B,71,63,71,63
Fliwo,New Dimension,F Minor,174,4A,17,92,27,41
Flo Milli,In The Party,A Major,135,11B,65,61,92,42
Flo Rida,I Cry,E Minor,126,9A,74,82,69,76
"Flo Rida, T-Pain",Low (feat. T-Pain),B♭ Minor,128,3A,85,61,92,30
Florence + The Machine,Never Let Me Go,A Major,145,11B,70,74,48,25
Florence + The Machine,You've Got The Love,F# Major,110,2B,78,69,57,40
"Florida Georgia Line, Luke Bryan",This Is How We Roll,A♭ Major,132,4B,73,93,56,72
Flozigg,MUTUAL,F# Minor,130,11A,50,46,57,82
"Flume, Moon Holiday",Insane feat. Moon Holiday,F Minor,94,4A,61,54,49,5
Foals,My Number,F# Minor,128,11A,70,72,64,81
Foo Fighters,Monkey Wrench,E Major,174,12B,70,95,40,56
Foo Fighters,Everlong - Acoustic Version,D Major,144,10B,70,34,64,55
Foo Fighters,Best of You,C# Minor,130,12A,77,94,37,37
Foolio,Dead Opps Pt. 2,D Major,79,10B,62,46,87,42
Foreigner,I Want to Know What Love Is - 1999 Remaster,F# Major,81,2B,85,47,48,42
Foreigner,Waiting for a Girl like You,B♭ Minor,201,3A,78,47,33,43
Foreigner,Hot Blooded,C Major,118,8B,69,81,71,76
Foreigner,Juke Box Hero,A Major,177,11B,73,65,36,52
Foster The People,Houdini,A♭ Major,110,4B,73,91,63,76
Foster The People,Waste,A♭ Major,126,4B,59,74,68,85
Foster The People,A Beginner's Guide to Destroying the Moon,A♭ Major,120,4B,54,91,52,27
Foster The People,Pumped Up Kicks,F Minor,128,4A,87,71,73,97
Frank Ocean,Facebook Story,C Major,82,8B,61,18,53,70
Frank Ocean,Pink + White,A Major,160,11B,90,55,55,55
Frank Ocean,In My Room,G Major,158,9B,74,65,86,67
Frank Ocean,Thinkin Bout You,C Major,130,8B,87,34,72,20
Frank Ocean,Ivy,A Minor,116,8A,86,39,57,47
"Frank Ocean, John Mayer",White,C# Major,139,3B,65,7,61,29
Frankie Valli & The Four Seasons,Big Girls Don't Cry,D Major,130,10B,65,84,76,84
Frankie Valli & The Four Seasons,Sherry,C Major,118,8B,64,47,70,69
Franz Ferdinand,No You Girls,D Minor,105,7A,66,92,68,88
"Fred again.., The Blessed Madonna",Marea (we’ve lost dancing),F Minor,123,4A,74,78,76,47
Freddie Gibbs,On The Set,F Minor,81,4A,47,73,53,59
Fredo Bang,Trust Issues,F# Minor,164,11A,55,56,74,37
"Free Nationals, Syd",Shibuya (feat. Syd),E Minor,93,9A,62,67,76,81
"French Montana, Swae Lee",Unforgettable,F# Major,98,2B,88,77,73,73
"Frijo, Santoz, Duki",24K,C# Major,139,3B,55,83,81,91
Fuego Liquido,Rey De Mi Vida,C# Major,152,3B,42,66,54,81
fun.,Stars,C Major,161,8B,32,65,52,62
Future,PUFFIN ON ZOOTIEZ,A♭ Major,125,4B,78,66,88,28
Future Islands,Balance,C Major,155,8B,54,86,47,17
Future Islands,For Sure,B♭ Major,135,6B,55,76,58,78
"Future, Drake",Used to This (feat. Drake),E♭ Minor,165,2A,60,73,62,40
"Future, Drake",I'M ON ONE (feat. Drake),B Major,77,1B,68,71,77,11
"Future, Juice WRLD",Fine China,G Major,166,9B,71,54,66,55
"Future, Juice WRLD, Yung Bans",Different (feat. Yung Bans),A♭ Major,77,4B,53,52,46,68
"Future, Metro Boomin, Travis Scott, Playboi Carti",Type Shit,D Major,145,10B,86,55,64,11
"Future, Travis Scott",First Off (feat. Travis Scott),C# Major,162,3B,62,68,73,45
"G Herbo, Juice WRLD",Never Scared (feat. Juice WRLD),C# Major,82,3B,51,74,52,14
G-Eazy,Calm Down,B Major,102,1B,58,62,54,41
"G-Eazy, Chris Brown, Mark Morrison",Provide (feat. Chris Brown & Mark Morrison),A Minor,95,8A,53,80,63,67
"G-Eazy, Jack Harlow",Moana,C# Major,206,3B,51,50,76,35
G-Unit,I'm So Hood,F# Major,174,2B,58,61,79,87
Gabinoros,Crazy All My Life,F Minor,120,4A,36,95,78,97
Gabriel De Jesús,Damos Honor A Ti,E Major,103,12B,40,37,47,30
Gabriella Rose,Doublewide,A Major,108,11B,68,48,72,77
Gala,Freed from Desire,D Minor,129,7A,53,76,72,67
"GAMPER & DADONI, Emily Roberts",Bittersweet Symphony,A Major,124,11B,74,58,68,45
Garbage,Cherry Lips (Go Baby Go!) - Remastered 2021,F# Minor,116,11A,47,40,89,97
Garbage,Only Happy When It Rains,C# Minor,121,12A,62,83,51,49
Gavin Adcock,On One,C# Minor,118,12A,68,74,63,69
Gavin Adcock,A Cigarette,G Major,136,9B,75,15,61,21
"GEE LEE, India Shan",Fast Life,F# Minor,125,11A,66,73,85,49
Generationals,Put a Light On,C# Major,100,3B,60,77,69,49
George Birge,Cowboy Songs,B♭ Minor,82,3A,61,84,44,34
George Ezra,Green Green Grass,A♭ Major,113,4B,75,74,69,80
George Harrison,Got My Mind Set on You,E Major,149,12B,78,85,76,96
George Harrison,What Is Life (2014 Remaster),E Major,131,12B,66,84,47,90
George Michael,Freedom! '90 - Remastered,F Major,92,7B,71,86,67,94
George Michael,Faith - Remastered,B Major,96,1B,78,48,89,61
Gerry Rafferty,Right Down the Line,C Major,128,8B,81,32,78,77
Ghost and Pals,Perfect Nothing,C# Minor,126,12A,62,88,54,75
Gilbert O'Sullivan,Alone Again (Naturally),A♭ Minor,172,1A,74,53,56,61
Gillette,Short Short Man,C Major,127,8B,55,76,93,92
girl in red,i need to be alone.,B♭ Major,148,6B,57,55,51,59
girl in red,October Passed Me By,E Minor,78,9A,63,37,51,22
girl in red,i wanna be your girlfriend,G Major,156,9B,75,38,54,34
GIVĒON,All To Me,F Minor,116,4A,70,54,52,32
GIVĒON,Lost Me,D Minor,88,7A,72,44,43,20
GIVĒON,For Tonight,A Major,80,11B,68,51,61,18
GIVĒON,Vanish,B♭ Minor,129,3A,62,22,54,35
gizmo,I Put My Dick in Your Mental,C# Major,110,3B,42,75,77,19
Glass Animals,Heat Waves,B Major,81,1B,87,53,76,53
Global Dan,Had Me At Goodbye,A Major,150,11B,29,63,60,13
GloRilla,Yeah Glo!,B Minor,148,10A,77,66,89,18
glue70,Highway Broken,C# Major,170,3B,37,80,59,96
"gnash, Vancouver Sleep Clinic",stargazing (feat. Vancouver Sleep Clinic),D Major,107,10B,22,28,50,31
Godsmack,Voodoo,B♭ Minor,120,3A,69,61,78,85
"GoldLink, Brent Faiyaz, Shy Glizzy",Crew (feat. Brent Faiyaz & Shy Glizzy),C# Minor,130,12A,77,61,73,45
Good Charlotte,I Just Wanna Live,B♭ Minor,111,3A,28,83,80,94
Gorillaz,On Melancholy Hill,D Major,120,10B,84,74,69,58
Gracie Abrams,"I Love You, I'm Sorry",B♭ Major,116,6B,90,41,53,34
Gracie Abrams,"I miss you, I’m sorry",G Major,110,9B,86,46,45,15
Graham Barham,WHISKEY WHISKEY,C# Minor,122,12A,68,69,75,50
Green Day,Good Riddance (Time of Your Life),G Major,95,9B,83,43,48,65
Green Day,Longview,B♭ Minor,143,3A,69,73,38,81
Gregory Alan Isakov,San Luis,G Minor,82,6A,73,43,57,26
Greta Van Fleet,Black Smoke Rising,G Major,100,9B,69,90,56,57
Grizzly Bear,Yet Again,E Minor,136,9A,48,88,47,46
GROUPLOVE,Raspberry,E♭ Major,105,5B,60,78,49,45
GROUPLOVE,Tongue Tied,E♭ Major,113,5B,81,94,56,37
"Gucci Mane, Lil Baby",Both Sides (feat. Lil Baby),C# Major,160,3B,40,61,83,18
Guchi,Jennifer,A♭ Major,170,4B,39,62,73,72
Gunna,hakuna matata,F Minor,138,4A,80,73,93,69
Gunna,on one tonight,E Minor,130,9A,81,73,89,93
"Gunna, Lil Baby, Young Thug",Oh Okay (feat. Young Thug & Lil Baby),A♭ Major,140,4B,66,52,89,73
Guns N' Roses,Don't Cry (Original),B Major,125,1B,81,59,46,25
Gwen Stefani,Hollaback Girl,B♭ Minor,110,3A,72,92,93,90
Gwen Stefani,4 In The Morning,B♭ Major,92,6B,51,83,70,50
"Gwen Stefani, Akon",The Sweet Escape,C# Major,120,3B,76,77,76,73
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,C# Minor,79,12A,79,74,72,62
H.E.R.,Every Kind Of Way,G Major,96,9B,66,30,45,21
"Hailee Steinfeld, DNCE",Rock Bottom,A♭ Major,158,4B,43,71,61,64
hako,listen!,B Minor,134,10A,69,68,74,13
"Halsey, Juice WRLD",Without Me,F# Major,136,2B,70,51,74,45
"Halsey, SUGA, BTS",SUGA's Interlude,C Major,79,8B,61,73,44,24
HARDY,Buck On The Wall,C# Major,92,3B,63,71,54,50
HARDY,GIVE HEAVEN SOME HELL,B Major,126,1B,73,84,64,53
HARDY,TRUCK BED,C Major,132,8B,78,77,66,77
Harry Styles,Watermelon Sugar,C Major,95,8B,86,82,55,56
Harry Styles,Late Night Talking,B♭ Major,115,6B,80,73,71,90
Harry Styles,Little Freak,E♭ Major,142,5B,75,54,56,40
Harry Styles,Lights Up,B♭ Minor,102,3A,71,62,57,27
Harry Styles,Adore You,A♭ Major,99,4B,80,77,68,57
Harry Styles,Sign of the Times,F Major,120,7B,87,60,52,22
"HEALTH, Ghostemane",JUDGEMENT NIGHT,D Major,120,10B,47,60,64,4
Heart,Crazy On You,A Minor,130,8A,72,46,44,38
Henrik,Half of forever,A Major,77,11B,74,31,75,48
Her's,Harvey,A Major,142,11B,75,86,59,72
Highly Suspect,Lydia,F# Minor,128,11A,66,71,42,51
Hinder,Lips Of An Angel,D Major,129,10B,78,74,48,25
Hior Chronik,In The Morning I'll Be With You,A Minor,69,8A,36,1,36,18
