Song,Artist,Genre Tags,Tag Source,lyrics
Snap Out Of It,Arctic Monkeys,"indie rock, alternative, british, rock, alternative rock",track,"“Snap Out of It,” one of the poppiest and most instantly accessible songs on the record, describes Alex Turner trying to tell a girl that she should forget about him.
What's been happenin' in your world?
What have you been up to?
I heard that you fell in love, or near enough
I gotta tell you the truth, yeah

I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

Forever isn't for everyone
Is forever for you?
It sounds like settlin' down or givin' up
But it don't sound much like you, girl

I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind? (Snap out of it)
Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind?

I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it"
Hell N Back,Bakar,"indie, chill, soul, alternative, calm",track,"Could you tell where my head was at when you found me?
Me and you went to hell and back just to find peace
Man, I thought I had everything, I was lonely
Now you're my everything, now it's on me

I mixed a lot of love with a lot of drugs, then I found you
She liked petty crimes, she had green eyes like Mountain Dew
And where she go, I'll never know, her friends bounced too
I guess it's their loss 'cause they'll never know what we'll amount to
And would you be my light, be my yellow?
P.Y.T. walking down Portobello
Put a smile on this face at the end of the day
MDMA helped us fly away
Who'd have known, who'd have known you would save my life?
Who'd have known, who'd have known you would fly my kite?
Could you tell, could you tell?
Could you tell, could you tell?
(Could you tell, tell?)

Could you tell where my head was at when you found me?
Me and you went to hell and back just to find peace
Man, I thought I had everything, I was lonely
Now you're my everything, now it's on me

Yeah-eah-eah-eah-eah, hey-hey
Yeah-eah-eah-eah-eah, hey-hey
Yeah-eah-eah-eah-eah, hey-hey, yeah
Yeah-eah-eah-eah-eah, hey-hey

I remember, I remember, I was all alone
Late night you would call my phone
Just to check if I was blessed 'cause you knew I was low
Head gone, rollin' off the throne
I remember, I remember, we was in the park
Late night, made love on the grass
Got my head in the clouds, countin' all my stars
In my ears, said the world was ours
Went to hell and back just to heal my wounds
'Cause it gets like that, wrong side of the moon
No Tutankhamun, you're my Cleopatra
No side thing, don't need a backup
Need a real one, don't need an actor
Her last one was fake, think he won a BAFTA
Come and be my girl, yeah

Could you tell where my head was at when you found me?
Me and you went to hell and back just to find peace
Man, I thought I had everything, I was lonely
Now you're my everything, now it's on me

Yeah-eah-eah-eah-eah, hey-hey (Just like we say)
Yeah-eah-eah-eah-eah, hey-hey (Just like we say)
Yeah-eah-eah-eah-eah, hey-hey, yeah (Just like we say)
Yeah-eah-eah-eah-eah, hey-hey"
Pineapple Sunrise,Beach Weather,"my top songs, B Artist",track,"Wanna feel nothing and everything
That's my kaleidoscope mind
And in my cellophane island dream, you and me
We feel like we could die young tonight

I can't hide the high
Oh, this euphoria
Up all through the night
Sunshine daze while I'm
Up in my loner paradise
Pineapple sunrise
Pineapple sunrise

Future eyes through yellow shades
Neon palms in a premonition
I realize in my disguise
I can't deny I keep having melancholy visions so

I can't hide the high
Oh, this euphoria
Up all through thе night
Sunshine daze while I'm
Up in my lonеr paradise
Pineapple sunrise
Pineapple sunrise
Pineapple sunrise
Pineapple sunrise

Your energy in my room
I wanna go back there soon
The feelings I get with you
Oh, well, I keep having melancholy visions (Melancholy visions)

I can't hide the high
Oh, this euphoria
Up all through the night
Sunshine daze while I'm
Up in my loner paradise
Pineapple sunrise
Pineapple sunrise
Pineapple sunrise
Pineapple sunrise

Your energy in my room
I wanna go back there soon
The feelings I get with you
Oh, well, I keep having melancholy visions"
Walcott,Vampire Weekend,"indie rock, indie, indie pop, fun, rock",track,"Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, Mystic Seaport is that way
Don't you know that your life could be lost
Out of Cape Cod tonight?

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, the bottleneck is a shit show
Hyannisport is a ghetto
Out of Cape Cod tonight

The lobster's claw is sharp as knives
Evil feasts on human lives
The Holy Roman Empire roots for you

Walcott, all the way to New Jersey
All the way to the Garden State
Out of Cape Cod tonight
Walcott, fuck the women from Wellfleet
Fuck the bears out in Provincetown
Heed my words and take flight

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?"
Next Exit,Vacations,"indie pop, australian, jangle pop, synthpop, WSUM 91.7 FM Madison",track,"I'll give this one more try
Before I take the next exit
Off the highway
Into a different life

I don't know how
You can tell me otherwise
When I can't tell left from right
Trouble and strife

Can I trust what I know?
I know nothing
Maybe it's time to let go
Drift and fall apart
Take me back to the start
Or we can just let go

Surprised to be here
Play life on repeat
Stay safe within routine
Won't accept defeat, oh no

I don't know how
You convince yourself
So tragic, don't say anymore
You lost count, never kept score

Can I trust what I know?
I know nothing
Maybe it's time to let go
Drift and fall apart
Take me back to the start
Or we could just let go

(Don't say goodbye like that)
(Don't fade away, fade away)
(Don't say goodbye like that)
(Don't fade away, fade away)

Can I trust what I know?
I know nothing
Maybe it's time to let go
Drift and fall apart
Take me back to the start
Or we could just let go"
Bruises,Chairlift,"indie, pop, indie pop, sweet, female vocalists",track,"I tried to do handstands for you
I tried to do headstands for you
Every time I fell on you, yeah, every time I fell
I tried to do handstands for you
But every time I fell for you
I'm permanently black and blue, permanently blue for you

I tried to do handstands for you
I tried to do headstands for you
Every time I fell on you, yeah, every time I fell
I tried to do handstands for you
But every time I fell for you
I'm permanently black and blue, permanently blue

For you-ooh
For you-ooh
So black and blue-ooh
For you-ooh

I grabbed some frozen strawberries
So I could ice your bruising knees
But frozen things they all unfreeze and now I taste like
All those frozen strawberries I used to chill your bruising knees
Hot July ain't good to me
I'm pink and black and blue (For you)

I got bruises on my knees for you
And grass stains on my knees for you
Got holes in my new jeans for you
Got pink and black and blue
Got bruises on my knees for you
And grass stains on my knees for you
Got holes in my new jeans for you
Got pink and black and blue

For you-ooh
For you-ooh
So black and blue-ooh
For you-ooh

(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)
(Du, du, lu, du, lu, du, lu)"
Congratulations (feat. Bilal),"Mac Miller,Bilal","Hip-Hop, Love, piano, fip, Olivia",track,"Onde você está?
Oh-oh (Hehehe)
Oh
The Divine Feminine, um álbum feito por Mac Miller
Oh-oh (The Divine Feminine, hehehe)
The Divine Feminine
Ooh (hehehe, hehe)

Era para eu? Ok... amor
Amor, amor, amor, amor amor (sexo)
Amor, amor, amor, amor, amor, amor, amor (sexo)

Esse sol não brilha quando eu estou sozinho
Eu perco minha mente e eu perco o controle
Eu vejo seus olhos olharеm através da minha alma
Não se surpreenda, isso é tudo que eu sеi
Eu senti as alturas e elas parecem com você
Veja um amor como o meu é muito bom para ser verdade
E você é divina demais para para ser minha
Você me lembra da cor azul
Garota, eu estou tão apaixonado por você, yeah
Garota, eu estou tão apaixonado por você

Yeah, yeah
Yeah, yeah (Amor), yeah, yeah
Um, bom

Amor, você foi tudo que eu sempre quis
Eu comprei um anel de casamento, está no meu bolso
Planejei para perguntar no outro dia
Sabia que você iria correr para longe, então eu acho que eu só esqueci isso
Lembra quando você foi para a faculdade?
Horas no telefone, nós acabamos falando
Passado, presente, futuro, todas as fofocas, caramba
Amor de criança não é o que era, querida
Sentimentos que nós temos são tão alarmantes
Eu posso fazer você rir, eu posso quebrar o vidro
Se a gente fizesse durar, isso seria o negócio
Sr. Encantador, esse é o meu departamento
Você estava lá antes dos carros caros e
Você estava lá quando eu ainda era um artista faminto
Quando o carro estava tendo problemas pra iniciar
Agora nós temos nosso próprio apartamento, mesma caixa de correio
Mesmo cesto para a roupa suja, a comida na geladeira é velha
Essa manhã você cozinhou os ovos com a couve
Eu tentei foder enquanto você estava se vestindo
Você disse: ""Tudo que você pensa é sexo""
Eu fiquei tipo: ""Oh bom, você me conhece tão bem
E se foi isso que fez você se atrasar, eu juro, eu não vou contar
E toda a vez que eu ligar para o seu celular, melhor você atender o seu celular
Eu juro por Deus eu vou enlouquecer se eu for direto para a caixa postal""
Bom, eu sou do tipo ciumento
Mas eu juro que aquela bunda é o que o céu gosta
E quando eu estou naquela buceta, é uma vida melhor
Esse é o único jeito eu estou tentando terminar a noite
É a minha única chance, melhor eu fazer isso certo

Leve o seu tempo, meu amor
Está tudo esperando por você, por você
Eu sei eu faço sua mente enlouquecer
Mas está tudo esperando bem aqui por você, por você

Você se aproxima, foge
Tudo que eu sempre soube é a cor cinza
Seus jeitos adoráveis me trazem brilhos do sol
Eu achei um anjo tão divino
Céu provavelmente não é o mesmo sem você
Mas agora você está no meu mundo, meu mundo
Ah-ah-ah
Ah-ah-ah-ah
Ah-ah-ah
Ah-ah-ah-ah"
Homecoming,"Kanye West,Chris Martin","Hip-Hop, rap, Kanye West, hip hop, chris martin",track,"Да
И ты говоришь Чикаго!
Чикаго! Чикаго!

Я снова возвращаюсь домой
Ты хоть изредка обо мне думаешь? (Да)
Ты хоть изредка обо мне думаешь?
Потому что я снова возвращаюсь домой
Снова возвращаюсь домой

Я встретил эту девушку, когда мне было 3 года
И в то время, меня больше всего зацепила её душа
Она сказала: «Прости, малыш, я знаю, что мы не знакомы
Но меня зовут Уинди и мне нравится курить травку»
И с того момента я никогда с ней не расставался
Мне нравилось хвастаться ею перед парнями из других городов
Они изображают из себя крутых, а она их ловко отшивает
И заставляет их исправится, потому что знает, что мягкие в душе
Когда я вырос, она показала мне, как нужно тусоваться в центре
А каждую ночь её лицо так потрясающе светилось
Я сказал ей, что она навсегда останется в моём сердце
Она никогда не связывалась с артистами, ведь они всегда куда-то уезжают
Она говорила: «Такое ощущение, будто меня просто растопчут»
Знала, что я был связан с бандами, попал в телевизор и она на меня настучала
Наверное, поэтому она и охладела ко мне прошлой зимой
Она сказала: «Йе, продолжай получать, продолжай получать платиновые и золотые пластинки ради меня!»

Я снова возвращаюсь домой
Ты хоть изредка обо мне думаешь?
Ты хоть изредка обо мне думаешь?
Потому что я снова возвращаюсь домой
Снова возвращаюсь домой
Ты хоть изредка обо мне думаешь?
Ты хоть изредка обо мне думаешь? О!
Сейчас я снова возвращаюсь домой
Может мы можем начать всё заново

Но если бы она была тебе по-настоящему дорога
Тогда ты никогда не поехал бы в аэропорт в погоне за мечтой
Иногда я всё ещё с ней общаюсь
Но когда я разговариваю с ней, мне всегда кажется, будто она говорит только обо мне
Она сказала: “Ты оставил своих детей, а они так похожи на тебя
Они хотят читать рэп и делать биты, прям как и ты
Но они не ты,” и я только что через это прошёл
Говоря о том, что всё, что делают другие — уже давно не новость
Сейчас все осознают, что они неправильно понимали правила этой игры
Похоже, ты начинаешь ценить что-то только когда теряешь
Похоже, поэтому я здесь и не могу вернуться домой
И угадай, когда я это понял? Когда я вернулся домой
Я говорю о тебе в каждом интервью, ты можешь мною гордиться
Всегда тянись к звёздам, ведь даже если упадёшь, то приземлишься на облака
Прыгай в толпе, зажги зажигалку и размахивай руками
Если ты всё ещё не понимаешь, я говорю о Чикаго

Я снова возвращаюсь домой
Ты хоть изредка обо мне думаешь?
Ты хоть изредка обо мне думаешь?
Потому что я снова возвращаюсь домой
Снова возвращаюсь домой
Детка, а ты помнишь
Фейерверки на озере Мичиган? Оу!
Сейчас я снова возвращаюсь домой
Снова возвращаюсь домой
Детка, а ты помнишь
Фейерверки на озере Мичиган? Оу!
Сейчас я снова возвращаюсь домой
Может мы можем начать всё заново

Оу-оу-оу, оу-оу-оу
Снова возвращаюсь домой
Оу-оу-оу, оу-оу-оу
Снова возвращаюсь домой
Может мы можем начать всё заново"
Sinking Ship,The Backseat Lovers,"WSUM 91.7 FM Madison, Have I heard You Before with DJ T, DJ T",track,"Drivin' in silence
A trip around the world
Our hands haven't touched in more than a month
In my head there's sirens, warning me of pain
Will this be the night that I make things right?
Or make things wrong
Or make things wrong
Or make things wrong

Your eyes used to wander
But now they sit in place
I'm sick of all of the nothing on your face
Did I put the fire out?
Did I walk away?
Did I burn up all the oxygen and throw the rest away?

And I don't want to be the ball to your chain
Seems that every time the weather's on our side
I turn it right
Back into rain

Don't hold back
Don't wait for the night to end
If it's me you're waiting on, then I say spend
Your time on someone else's sinking ship

Try to substitute my dreams with you
And you brought me down on the ship
(This ship called life)

Don't hold back
Don't wait for the night to end
If it's me you're waiting on then I say spend
Your time on someone else's sinking ship"
The Moment,Tame Impala,"psychedelic pop, Psychedelic Rock, synthpop, Neo-Psychedelia, indie",track,"In the end, it's stronger than I know how to be
And I can't just spend my whole lifetime wondering
I fell in love with the sound of my heels on the wooden floor
I don't want my footsteps to be silent anymore

Want them to be in the moment
Storm clouds are closing

In the end, it's coming, there's nothing left to do
But I'm still not certain, just how I'm gonna feel

I'll only know in the moment (Ooh)
Anticipation growing (Ooh)

It's getting closer
Ooh, it's getting closer
It's getting closer (I'm not ready)
Ooh, it's getting closer (I need a little more time)


It's getting closer (Closer, every day, don't cry, we'll be okay)
Ooh, it's getting closer (Closer, wall of the dam, hold on and breathe if you can)
It's getting closer (Closer; I'm not ready)
Ooh, it's getting closer (Closer; breathe if you can; I need a little more time)
It's getting closer (Closer; I'm not ready)
It's getting closer (Closer; I need a little more time)

It's getting closer
Ooh, it's getting closer"
Sleep Alone,Two Door Cinema Club,"indie, british, indie rock, alternative, electronic",track,"Know my only goal is to see
When I'm only fast asleep
It takes more than strength to find
This peace of mind

So I'll hold, hold, hold
Hold it close
To my heart beating with every step
Hold, hold, hold it close

He sleeps alone
He needs no army where he's headed 'cause he knows
That they're just ghosts
And they can't hurt him if he can't see them, oh
And I may go
To places I have never been to justify
The deepest desires in my mind

We, we only know what we see
'Cause we're always fast asleep
Is it so hard not to believe
That we'll never know?

Oh, hold, hold, hold
Hold me close
I've never been this far from home
Hold, hold, hold me close

He sleeps alone
He needs no army where he's headed 'cause he knows
That they're just ghosts
And they can't hurt him if he can't see them, oh
And I may go
To places I have never been to justify
The deepest desires in my mind

It's in my head and I have said
That I must be like him now
He sleeps alone
He sleeps alone
And one last chance to make sense
Of what has long escaped us
He sleeps alone
I sleep alone

He sleeps alone
He needs no army where he's headed 'cause he knows
That they're just ghosts
And they can't hurt him if he can't see them, oh
And I don't know
If in the morning I will be here, and if so
Let it be known
That I was worthy, I was worthy, I was worthy, I was"
Something Good Can Work,Two Door Cinema Club,"indie, britpop, electronic, british, indie rock",track,"There's a spanner in the works, you know
You gotta step up your game to make it to the top
So go
Got a little competition now
You're going to find it hard to cope with living on your own now
Uh oh, uh oh

Let's make this happen, girl
We gotta show the world that something good can work
And it can work for you, and you know that it will
Let's get this started, girl
We're moving up, we're moving up
It's been a lot to change but you will always get what you want

It took a little time to make a little better
It's only going up, just one thing then another
You know, you know
It took a little time to make a little better
It's only going up, just one thing then another
You know, you know

Let's make this happen, girl
We gotta show the world that something good can work
And it can work for you, and you know that it will
Let's get this started, girl
We're moving up, we're moving up
It's been a lot to change but you will always get what you want


Let's make this happen, girl
We gotta show the world that something good can work
And it can work for you, and you know that it will
Let's get this started, girl
We're moving up, we're moving up
It's been a lot to change but you will always get what you want
Let's make this happen, girl
We gotta show the world that something good can work
And it can work for you, and you know that it will
Let's get this started, girl
We're moving up, we're moving up
It's been a lot to change but you will always get what you want"
Blue Hair,TV Girl,"indie rock, MySpotigramBot, seen live, indie, alternative",track,"She asked me how to be funny
But that's not something you can teach
What seemed so blue in the sunlight
By the night was a pale green

And I tried to hold her
But it didn't really last long
And she's getting older
I guess she's gotta cut her blue hair off

She asked me if she was pretty
Well, it's clear that the girl's a fraud
There's really no way of winning
If in their eyes you'll always be a dumb blonde
And she cried over nothing
So there was nothing I could do to stop
Her from cutting
Her beautiful blue hair off

It looked like cotton candy
And just as quick to get licked away
Last I heard she was living
With a boy who acts his age

And I guess I'll just miss her
Even though she isn't even really gone
But things are just different
Ever since she cut her blue hair off"
Christmas Kids,Roar,"indie rock, indie, alternative, indie pop, christmas",track,"Based on this interview with Roar, Christmas Kids is about the abusive relationship between Ronnie Spector of the Ronnettes and Phil Spector.
Ronnette, my dear, don't ever disappear
Do what you want as long as you stay here
I need you now, I love you so much
More than you could know

The Christmas kids were nothing but a gift
And love is a tower where all of us can live

You'll change your name or change your mind
And leave this fucked up place behind

But I'll know, I'll know
I'll know, I'll know
I'll know, I'll know
I'll know, I'll know

Appearing unsightly
With devils inside me
If you ever try to leave me, I'll find you, Ronnie
If you ever try to leave me, I'll find you, Ronnie
If you ever try to leave me, I'll find you, Ronnie
If you ever try to leave me, I'll find you, Ronnie

I'm leaving, Phil, I'm leaving now
I'm going to escape, but you won't know how
Or where to find me when I'm gone
I'll drink myself to death inside
This prison cell
This prison cell

So get me out of here
Get me out of here
Get me out of here
Get me out of here
You'll change your name or change your mind
And leave this fucked up place behind

But I'll know, I'll know
I'll know, I'll know
I'll know, I'll know
I'll know, I'll know"
Spiderhead,Cage The Elephant,"indie rock, rock, alternative rock, alternative, wierd but good",track,"I am the one you left for dead
Say you want it, too
You are the bullet in my head
And as you stand over my grave
Tell me it's okay
Your porcelain lips upon my face

Either I'm in heaven, or I'm in hell
Am I losing my mind here? 'Cause I can't tell
I've been waiting for answers for way too long
Seems I'm always waiting around

Spiders in my head, spiders in my mind
You may take my eyes, but baby, I'm not blind
It all works out in time
You know I'm gonna be alright
You may take my eyes, but, baby, I'm not blind

Talk to me now

I think your mother wants me dead
Say you want it, too
I am a schizophrenic man
I wouldn't change you if I could
Say you want me, too
Treat me cold, I'll play it cool

Spiders in my head, spiders in my mind
You may take my eyes, but baby, I'm not blind
It all works out in time
You know I'm gonna be alright
You may take my eyes, but, baby, I'm not blind

Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh

Spiders in my head, spiders in my mind
You may take my eyes, but baby, I'm not blind
It all works out in time
You know I'm gonna be alright
You may take my eyes, but, baby, I'm not blind"
Lamb's Wool,Foster The People,"psychedelic, electropop, rock, personal favourites, spike",track,"It's hard to look into your eyes
Knowing it might be the last time
The spaces in between our breaths
They're singing to the infinite

Sudden changes make the air uncomfortable
I'll hold you so you're not alone

When I'm quiet on the other side
Know that I'm loving you, that's all I do
Is keep loving you
You're fine, my love, never mind 'cause I'm here
I keep laughing to myself
I'm so in love with loving you, that's all I do
Is keep loving you
Where things will change, but I'll always be the same

The silence is a lonely thing
Waiting for a sound to fall
A lullaby to calm our sleep
The promise of another world

Sudden changes make the air uncomfortable
Oh, hold me so I'm not alone, no

When I'm quiet on the other side
Know that I'm loving you, that's all I do
Is keep loving you
You're fine, my love, never mind 'cause I'm here
I keep laughing to myself
I'm so in love with loving you, that's all I do
Is keep loving you
Where things will change, but I'll always be the same

Float into the endless night
Dust cradles our names
And all the things we ever cared for
To run again without the pain
To love you without being afraid
To fall into the flowers bloom, of the other side

When I'm quiet on the other side
Know that I'm loving you, that's all I do
Is keep loving you
You're fine, my love, never mind 'cause I'm here
I keep laughing to myself
I'm so in love with loving you, that's all I do
Is keep loving you
Where things will change, but I'll always be the same

Oh, when I'm quiet on the other side
Yeah, I am loving you, that's all I do
And things will change, but you'll be alright"
Mess Is Mine,Vance Joy,"indie, indie folk, Love, folk, australian",track,"Talking like we used to do
It was always me and you
Shaping up and shipping out
Check me in and check me out
Do you like walking in the rain?
When you think of love, do you think of pain?
You can tell me what you see
I will choose what I believe

Well, hold on, darling
This body is yours
This body is yours and mine
Well, hold on, my darling
This mess was yours
Now your mess is mine
Ah, ooh
Your mess is mine

See you in the marketplace
Walkin 'round at 8:00am
I got two hours before my flight
Luck, be on my side tonight
You're the reason that I feel so strong
The reason that I'm hanging on
You know you gave me all that time
Well, did I give enough of mine?

Well, hold on, darling
This body is yours
This body is yours and mine
Well, hold on, my darling
This mess was yours
Now your mess is mine
Ooh, ah, ah
Your mess is mine
Your mess is mine

Bring me to your house
Tell me, ""Sorry for the mess"", hey, I don't mind
You're talking in your sleep, out of time
Well, you still make sense to me, your mess is mine
Ah, ooh

Your mess is mine
This body is yours and this body is mine
Ooh, ooh
Your mess is mine
Your mess is mine"
Heart It Races - Cover Version,Dr. Dog,"cover, indie, alternative, covers, Architecture In Helsinki",track,
Nellie,Dr. Dog,"indie, rock, alternative, indie rock, names of people",track,"Nellie is from Dr. Dog’s 8th album, B-Room (October 1, 2013).
Does she wander deep inside her slumber from dream to dream?
What does she dream?
You know you love her, but do you really know her?
I look in her face I know I’m somewhere in there
But, she’s somebody else. She’s somebody new
And I can’t help myself from going wandering with her from room to room
Today, tomorrow, today

Oh Nellie, oh Nellie, oh Nellie, yeah
Oh Nellie, oh Nellie, oh Nellie, yeah

Does she wander deep inside her slumber from dream to dream?
What does she dream?
Oh to hold her, so happy just to know her
I got an old notebook, it’s filled with bits and baubles
I wanna tighten it up and put it in her room between the hyacinth
And the book of Aesop’s fables. I wanna go there soon
Today, tomorrow, today"
DOGTOOTH,"Tyler, The Creator","MySpotigramBot, -1001819731063, Dirty South, Neo-Soul, pop rap",track,"She could ride my face, I don't want nothin' in return
Her body count and who she fuck ain't never my concern (Y'all niggas weird)
I'm tryna buy my neighbor house (We back at it, dogtooth, yuh, dogtooth, yuh)

She could ride my face, I don't want nothin' in return
Except for some her time and all her love, that's my concern
I'm tryna buy my neighbor house and turn it to a yard
If you don't know my grandma name, then we ain't really dogs, bitch

I shook your hand, I don't respect
Don't call me king, I'm not your twin
I'm not your brother, we just met
See, I won't purchase her no Birkin (Uh)
Got hobbies (Uh), got purpose (Woo)
Got thumpers, I'm perfect (Uh)
Yeah, Kelly green wagon look better when the gloom out
Canary shine brighter in the dark, I brought the moon out
The plane fly better when it's just me and the pilot
Tuition for the mileage, it's worth it for the silence
There he go, he cast broads like radios
Shit, your lady knows, it's Young T like baby clothes
And I got that fire, and I got good dick
Guap long, dick long, plus I look good, bitch (Yeah, yeah, yeah)

She could ride my face, I don't want nothin' in return (Woo)
Because if she get off, then I get off, that's my concern (Oh, man)
I'm tryna buy my neighbor house and turn it to a yard (Yeah, yeah, turn up that shit)
If you don't know my grandma name, then we ain't really dogs, bitch

That's a lot of motherfuckin' necklace
Five, six, seven is the figure for a setlist (Yeah)
Ring, ring, ring, bitch, pick up the phone
I don't care if y'all together, I will tear down a home, shit
I shimmy through Paris in back of Phantom of the threads
The driver's seat of the Enzo could barely fit my legs
And Virgil my chaperone, he look out from overhead (Love you, V)
Not sure what you overheard, but it's probably what I said, bitch
I'm out here livin', y'all on the feed (Yuck)
My girl look like Zazie Beetz and Kelis (Yuck)
I pull up in the ""What the fuck is that, dog?"" (I said, ""Yuck"")
It's Mr. Peculiar, that's who I be, who I be
Niggas tellin' women how they bodies supposed to be, but
Never take advice from any nigga with a lean gut (Fuck these niggas)
Keep your chair rockin' and my two cents in your pocket
Your only option, I don't play no motherfuckin' games

She could ride my face, I don't want nothin' in return
And will I ever fall in love again? I can't confirm
I'm tryna buy my neighbor house and turn it to a yard
If you don't know my daughter name, then we ain't really—
(Dogs)

After this
You niggas can't say nothin'
Dogtooth, uh, uh, dogtooth (Suckas)
Dogtooth, yeah, dogtooth, uh
Dogtooth, dogtooth
Dogtooth (Woo), dogtooth
Dogtooth, uh, uh, dogtooth (Yeah, nigga, yeah)
Dogtooth, dogtooth, uh"
Then It All Goes Away,Dayglow,"english, self written, wb dayglow",track,"Oh, come on now
It's not always the same
You can't tell me you don't notice
Probably the same things

'Cause
I know the things that you've been talking about, and
Sometimes I can't ever believe what you say, yeah
It's only in the way I'm feeling this down that
Nothing seems to change
(One, two, yeah)

You tell me everything and tell me it's fine, but
There's ""something tells me that there's something going on here""
I know the way you get that look in your еyes
And then it disappears

So thеn, you're telling me, ""there's something different about it""
Even though we've been circling around it
Since forever, and forever
It goes like

I know the things that you've been talking about, and
Sometimes I can't ever believe what you say, yeah
It's only in the way I'm feeling this down that
Nothing seems to change
(One, two, yeah)

You tell me everything and tell me it's fine, but
There's ""something tells me that there's something going on here""
I know the way you get that look in your eyes
And then it disappears

(And then it all goes away, then it all goes away)
(And then it all goes away, then it all goes away)
And then it all goes away

I know the things that you've been talking about, and
Sometimes I can't ever believe what you say
It's only in the way I'm feeling this down
Nothing seems to change
(One, two, yeah)

You tell me everything and tell me it's fine, but
There's ""something tells me that there's something going on here""
I know the way you get that look in your eyes
And then it disappears

(And then it all goes away, then it all goes away)
(And then it all goes away, then it all goes away)
(And then it all goes away, then it all goes away)
(And then it all goes away, then it all goes away)"
Stolen Dance,Milky Chance,"indie, indie folk, pop, fip, indie dance",track,"I want you by my side
So that I never feel alone again
They've always been so kind
But now they've brought you away from me
I hope they didn't get your mind
Your heart is too strong anyway
We need to fetch back the time
They have stolen from us

And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it

Coldest winter for me
No sun is shinin' anymore
The only thing I feel is pain
Caused by absence of you
Suspense controllin' my mind
I cannot find the way outta here
I want you by my side
So that I never feel alone again

And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it


And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
And I want you, we can bring it on the floor
You've never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it"
Abandoned Mansion,Dr. Dog,"folk, indie folk",track,"Dust and light
Fear and love
They float inside
They drain my pride
You did it to yourself
But you did it to me too
Yeah, you did it to yourself
But you did it to me too
But hope survives
By wandering, lost in time
In truth, so clear
We are not fake, if not here
You did it to yourself
But you did it to me too
Yeah, you did it to yourself
But you did it to me too
You did it to yourself
But you did it to me too
Yeah, you did it to yourself
But you did it to me too
(Did it to me too)
(Did it to me too)
(Did it to me too)
(Did it to me too)

And so we live in an abandoned mansion
You search through the dark of your deserted heart
To return to the splendor again
I hear the chains
Dragging on the floor
But what leaves the noise
Is the sound of our voice
You did it to yourself
But you did it to me too
Yeah, you did it to yourself
But you did it to me too
Well, you did it to yourself
But you did it to me too
Yeah, you did it to yourself
But you did it to me too
(Did it to me too)
(Did it to me too)
(Did it to me too)
(Did it to me too)
And so we live in an abandoned mansion
You search through the dark of your deserted heart
To return, to return
Oh, we live in an abandoned mansion
You search through the dark of your deserted heart
To return, to return
Oh, we live in an abandoned mansion
You search through the dark of your distorted heart
To return, to return
We live in an abandoned mansion
You search through the dark of your deserted heart
To return to the splendor again"
