Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Murder On The Dancefloor,Sophie Ellis-Bextor,2,117,,,03:50,73,85,0,0,86,0,30,-5,C♯/D♭ minor,4,12A,Sophie Ellis-Bextor,Murder On The Dancefloor
Dog Days Are Over,Florence + The Machine,83,150,baroque pop,"Classical, Pop",04:12,50,81,3,1,26,0,10,-5,G,4,9B,Florence + The Machine,Dog Days Are Over
Say It Right,Nelly Furtado,84,117,,,03:43,87,87,5,0,81,10,0,-6,C♯/D♭,4,3B,Nelly Furtado,Say It Right
Where Is The Love?,Black Eyed Peas,3,94,,,04:32,83,70,11,0,80,20,10,-3,F,4,7B,Black Eyed Peas,Where Is The Love?
Walking On A Dream,Empire Of The Sun,87,127,,,03:18,87,70,26,0,72,0,0,-6,F minor,4,4A,Empire Of The Sun,Walking On A Dream
Just Dance,"Lady Gaga,Colby O'Donis",87,119,"art pop, pop, ",Pop,04:01,82,74,3,0,75,0,10,-5,C♯/D♭ minor,4,12A,Lady Gaga,Just Dance
So Sick,Ne-Yo,81,93,,,03:27,45,57,25,0,58,30,10,-8,F#/G♭,4,2B,Ne-Yo,So Sick
You've Got The Love,Florence + The Machine,80,110,baroque pop,"Classical, Pop",02:48,57,69,0,0,40,0,10,-5,F#/G♭,4,2B,Florence + The Machine,You've Got The Love
Winter Wind,Roberto Bocchetti,16,144,,,02:39,72,66,2,18,50,0,10,-10,F#/G♭,4,2B,Roberto Bocchetti,Winter Wind
Love,Keyshia Cole,84,117,r&b,R&B,04:15,69,52,6,0,31,0,10,-4,F,4,7B,Keyshia Cole,Love
Track for Luigi,Disintegration C.E.,18,126,,,04:34,83,72,11,0,52,0,30,-8,G,4,9B,Disintegration C.E.,Track for Luigi
Young Folks,Peter Bjorn and John,81,138,indie,"Pop, Rock",04:36,70,81,2,0,66,0,10,-6,C,4,8B,Peter Bjorn and John,Young Folks
Bananza (Belly Dancer),Akon,0,105,,,03:58,88,70,3,0,67,10,70,-6,A#/B♭ minor,4,3A,Akon,Bananza (Belly Dancer)
Летний вечер,Olga Neff,22,130,,,03:56,95,48,12,10,96,0,10,-10,D minor,4,7A,Olga Neff,Летний вечер
Family Affair,Mary J. Blige,83,93,r&b,R&B,04:25,91,55,13,0,97,0,0,-4,G#/A♭ minor,4,1A,Mary J. Blige,Family Affair
Wanna Dance,BRUNSWICK,29,174,,,02:56,62,96,0,71,23,0,0,-2,B,4,1B,BRUNSWICK,Wanna Dance
Drop It Like It's Hot,"Snoop Dogg,Pharrell Williams",3,92,"g-funk, west coast hip hop, gangster rap, hip hop, rap, ","Hip Hop, R&B",04:26,89,63,17,0,68,20,10,-4,C♯/D♭,4,3B,Snoop Dogg,Drop It Like It's Hot
Mr. Brightside,The Killers,8,148,alternative rock,Rock,03:42,35,93,0,0,24,0,10,-4,C♯/D♭,4,3B,The Killers,Mr. Brightside
Fair,WiLL,33,94,,,02:57,55,53,20,0,55,0,10,-7,F minor,4,4A,WiLL,Fair
Promiscuous,"Nelly Furtado,Timbaland",88,114,,,04:02,81,97,6,0,87,0,10,-6,A#/B♭ minor,4,3A,Nelly Furtado,Promiscuous
South of Monterey,Jas Stewart,8,105,,,04:06,67,66,50,2,53,0,10,-8,E,4,12B,Jas Stewart,South of Monterey
Always On Time,"Ja Rule,Ashanti",11,97,"east coast hip hop, r&b","Hip Hop, R&B",04:05,84,71,21,0,84,20,20,-6,F minor,4,4A,Ja Rule,Always On Time
Because Of You,Ne-Yo,79,110,,,04:26,81,54,53,0,83,0,10,-6,C minor,4,5A,Ne-Yo,Because Of You
Tell Me,"Monika Talach,Nino Chill",28,194,,,02:57,74,63,66,0,82,30,10,-4,A#/B♭ minor,4,3A,Monika Talach,Tell Me
Dynamite,Taio Cruz,78,120,,,03:22,75,78,0,0,81,0,0,-4,E,4,12B,Taio Cruz,Dynamite
"I'm Hella Down, Bro",Apollo A.i Nation,14,150,,,02:56,57,75,0,2,18,0,70,-10,B minor,4,10A,Apollo A.i Nation,"I'm Hella Down, Bro"
She Will Be Loved - Radio Mix,Maroon 5,86,102,pop,Pop,04:19,65,66,23,0,47,0,10,-6,C minor,4,5A,Maroon 5,She Will Be Loved
Dangerous,"Kardinal Offishall,Akon",79,117,,,04:06,95,79,0,0,81,0,0,-6,G#/A♭,4,4B,Kardinal Offishall,Dangerous
Summertime,Olga Neff,21,127,,,03:20,76,31,55,23,91,0,10,-14,F#/G♭ minor,4,11A,Olga Neff,Summertime
The Sweet Escape,"Gwen Stefani,Akon",76,120,,,04:06,76,77,19,0,73,0,10,-4,C♯/D♭,4,3B,Gwen Stefani,The Sweet Escape
Flakey Fakes,space electronic disco,8,124,,,02:36,70,64,3,4,82,0,20,-7,C,4,8B,space electronic disco,Flakey Fakes
Umbrella,"Rihanna,JAY-Z",69,174,"hip hop, east coast hip hop, rap",Hip Hop,04:35,58,83,1,0,55,10,0,-5,C♯/D♭,4,3B,Rihanna,Umbrella
Party In The U.S.A.,Miley Cyrus,84,96,,,03:22,65,70,0,0,47,0,0,-5,A#/B♭ minor,4,3A,Miley Cyrus,Party In The U.S.A.
LetUGo,Jordan Xiro,18,90,,,03:33,68,68,41,0,34,0,10,-6,A#/B♭,4,6B,Jordan Xiro,LetUGo
The Real Slim Shady,Eminem,87,105,"rap, hip hop",Hip Hop,04:44,95,66,3,0,76,0,0,-4,F minor,4,4A,Eminem,The Real Slim Shady
Stay,"Chip Pirrs,bina",21,121,,,03:02,68,63,0,0,44,0,10,-8,C,4,8B,Chip Pirrs,Stay
Empire State Of Mind,"JAY-Z,Alicia Keys",85,174,"hip hop, east coast hip hop, rap, r&b, neo soul","Hip Hop, R&B",04:36,49,96,3,0,81,30,40,-2,B,4,1B,JAY-Z,Empire State Of Mind
I Kissed A Girl,Katy Perry,74,130,pop,Pop,02:59,70,76,0,0,70,0,10,-3,F,4,7B,Katy Perry,I Kissed A Girl
Barely Alive,Scott Hopkins,16,121,,,03:36,58,74,0,0,63,0,20,-8,D,4,10B,Scott Hopkins,Barely Alive
Bad Bitches,DaKid dipuo,33,158,,,02:25,68,52,15,0,40,10,10,-13,B minor,4,10A,DaKid dipuo,Bad Bitches
Dilemma,"Nelly,Kelly Rowland",3,168,,,04:49,73,55,18,0,61,10,20,-8,D minor,4,7A,Nelly,Dilemma
Ring of Fire,Christel Golden,14,129,,,03:55,54,17,91,0,19,0,10,-12,G,4,9B,Christel Golden,Ring of Fire
It Wasn't Me,"Shaggy,Rik Rok",0,95,"reggae, dancehall, riddim, lovers rock, ragga","Reggae, Hip Hop, Electronic",03:47,85,62,5,0,69,0,30,-5,C,4,8B,Shaggy,It Wasn't Me
Fergalicious,"Fergie,will.i.am",62,129,,,04:52,91,58,6,0,83,30,10,-8,G#/A♭ minor,4,1A,Fergie,Fergalicious
Sway,Spiral Core,31,105,,,03:18,65,81,0,61,16,0,20,-8,G,4,9B,Spiral Core,Sway
A Thousand Miles,Vanessa Carlton,80,95,,,03:57,56,83,32,0,27,0,10,-4,B,4,1B,Vanessa Carlton,A Thousand Miles
When I'm Gone or Left,Emcee Rapper,15,170,,,03:48,58,54,12,0,18,20,10,-10,B,4,1B,Emcee Rapper,When I'm Gone or Left
Love Story (Taylor’s Version),Taylor Swift,79,119,,,03:55,63,79,13,0,42,0,0,-4,D,4,10B,Taylor Swift,Love Story (Taylor’s Version)
Foolish,Ashanti,77,90,r&b,R&B,03:47,67,70,35,0,71,0,10,-6,C,4,8B,Ashanti,Foolish
Atlantic Brothers,Disintegration C.E.,20,126,,,05:04,81,84,1,34,53,0,10,-7,C♯/D♭,4,3B,Disintegration C.E.,Atlantic Brothers
Put Your Records On,Corinne Bailey Rae,82,96,,,03:35,74,51,17,0,54,0,10,-8,A,4,11B,Corinne Bailey Rae,Put Your Records On
"The Good, The Bad, and The Beautiful",B$nkPsy,14,100,,,02:45,91,36,32,0,92,10,0,-14,F#/G♭ minor,4,11A,B$nkPsy,"The Good, The Bad, and The Beautiful"
Naive,The Kooks,79,101,"indie, indie rock","Pop, Rock",03:23,39,81,8,0,74,0,10,-6,G#/A♭ minor,4,1A,The Kooks,Naive
Apologize,OneRepublic,54,118,soft pop,Pop,03:28,59,74,36,0,50,0,10,-6,G#/A♭,4,4B,OneRepublic,Apologize
Rooted Wings,Engare,14,96,,,02:44,80,75,1,3,58,10,30,-8,D,4,10B,Engare,Rooted Wings
Hey There Delilah,Plain White T's,81,104,,,03:52,66,29,87,0,30,0,10,-11,D,4,10B,Plain White T's,Hey There Delilah
Valjean (Pay-A-Debt),Disintegration C.E.,17,126,,,05:16,80,76,3,19,97,0,0,-9,A,4,11B,Disintegration C.E.,Valjean (Pay-A-Debt)
Scar,Missy Higgins,58,92,,,03:33,65,79,38,0,83,0,20,-6,C,4,8B,Missy Higgins,Scar
Bubbly,Colbie Caillat,75,128,,,03:16,69,48,59,0,26,0,10,-7,A,4,11B,Colbie Caillat,Bubbly
"Fly, Fly Away",Eddy Mann,6,112,"ccm, christian folk, cedm, christian pop","Christian, Electronic, Folk, Pop",04:17,71,59,2,5,79,0,10,-11,C,4,8B,Eddy Mann,"Fly, Fly Away"
Chasing Cars,Snow Patrol,9,104,,,04:27,56,59,21,0,14,0,10,-5,A,4,11B,Snow Patrol,Chasing Cars
The Darkness,"Blake Red,Nona Hendryx",13,171,post-disco,"Pop, R&B",03:12,40,90,0,0,26,10,10,-6,C♯/D♭,4,3B,Blake Red,The Darkness
Stacy's Mom,Fountains Of Wayne,78,118,power pop,"Pop, Rock",03:17,77,75,0,0,93,0,0,-5,B minor,4,10A,Fountains Of Wayne,Stacy's Mom
Bulletproof,La Roux,76,123,,,03:25,67,88,0,0,68,0,0,-3,D#/E♭ minor,4,2A,La Roux,Bulletproof
I'll Be Better,Joel McColl,14,83,,,05:28,64,53,9,0,44,0,0,-12,A,3,11B,Joel McColl,I'll Be Better
Grace Kelly,MIKA,74,122,,,03:07,68,83,2,1,67,0,30,-6,C,4,8B,MIKA,Grace Kelly
I Say So,JDot Pirelli,18,146,,,02:19,58,72,4,0,37,30,10,-8,F minor,4,4A,JDot Pirelli,I Say So
I Miss You,blink-182,73,110,"pop punk, punk, emo pop, rock, skate punk, emo","Rock, Pop",03:47,42,71,0,0,59,0,0,-8,B,4,1B,blink-182,I Miss You
All The Things She Said,t.A.T.u.,80,180,,,03:34,53,83,4,1,38,0,10,-6,F minor,4,4A,t.A.T.u.,All The Things She Said
Change Is Coming Soon,The Cravens,6,75,,,04:29,51,63,20,0,57,0,10,-7,A,4,11B,The Cravens,Change Is Coming Soon
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,74,200,"emo, pop punk, emo pop","Rock, Pop",03:32,44,89,0,0,41,0,0,-4,A,4,11B,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
Better Together,Jack Johnson,77,110,surf rock,Rock,03:27,87,35,30,0,66,0,10,-9,F,4,7B,Jack Johnson,Better Together
Rehab,Amy Winehouse,67,72,,,03:33,43,87,5,0,73,0,40,-3,C,4,8B,Amy Winehouse,Rehab
My Mirror,Nita,19,140,,,03:08,52,81,0,0,41,0,30,-7,B minor,4,10A,Nita,My Mirror
Candy Shop,"50 Cent,Olivia",82,125,"east coast hip hop, ",Hip Hop,03:29,61,57,3,0,76,40,30,-8,B,5,1B,50 Cent,Candy Shop
Joker And The Thief,Wolfmother,60,155,stoner rock,Rock,04:40,26,78,5,2,46,0,30,-3,C,4,8B,Wolfmother,Joker And The Thief
Fireflies,Owl City,81,180,,,03:48,51,66,3,0,47,0,10,-7,D#/E♭,4,5B,Owl City,Fireflies
By Reason or By Force,"3rd Rate,Dez Cadena",12,90,,,02:09,48,93,2,0,50,10,20,-5,A#/B♭,4,6B,3rd Rate,By Reason or By Force
Whole Again,Atomic Kitten,66,94,,,03:05,75,71,8,0,57,0,10,-5,E,4,12B,Atomic Kitten,Whole Again
Estoy de Locos,Lily Fuster,30,160,,,02:45,58,70,3,36,50,0,10,-7,F,4,7B,Lily Fuster,Estoy de Locos
Touch The Sky,"Kanye West,Lupe Fiasco",77,99,"rap, ",Hip Hop,03:56,55,85,1,0,55,30,30,-5,A,1,11B,Kanye West,Touch The Sky
Akima,LUGJOY,16,130,,,02:51,78,94,2,34,68,0,0,-4,C minor,4,5A,LUGJOY,Akima
Breathless,The Corrs,74,127,celtic rock,Rock,03:27,61,82,5,0,77,0,20,-8,B,4,1B,The Corrs,Breathless
Dont want to fall in love with you,Q-Rhyus,13,125,,,02:57,65,42,5,0,66,0,10,-8,G#/A♭,4,4B,Q-Rhyus,Dont want to fall in love with you
Unwritten,Natasha Bedingfield,90,100,,,04:19,71,80,1,0,63,0,0,-6,F,4,7B,Natasha Bedingfield,Unwritten
Drugs and Dreams - Special Version,B3N&J8CUB,8,104,,,02:58,77,39,73,1,15,0,10,-14,A,4,11B,B3N&J8CUB,Drugs and Dreams
Smack That,"Akon,Eminem",6,119,"rap, hip hop",Hip Hop,03:32,94,74,32,0,93,0,0,-5,F minor,4,4A,Akon,Smack That
Dance With Me,Giulio Larovere,30,110,,,03:14,48,35,56,0,36,0,30,-9,A,3,11B,Giulio Larovere,Dance With Me
Keep On Honky Tonkin',Mike Lennon,21,172,,,02:53,45,83,44,0,80,10,60,-5,E,4,12B,Mike Lennon,Keep On Honky Tonkin'
Don't Cha,"The Pussycat Dolls,Busta Rhymes",76,120,east coast hip hop,Hip Hop,04:32,88,63,1,0,55,10,10,-3,C♯/D♭,4,3B,The Pussycat Dolls,Don't Cha
Crank That (Soulja Boy),Soulja Boy,79,140,,,03:41,73,74,51,0,80,0,0,-2,C,4,8B,Soulja Boy,Crank That (Soulja Boy)
Let Me Blow Ya Mind,"Eve,Gwen Stefani",79,90,,,03:50,91,56,24,0,90,10,0,-4,G#/A♭ minor,4,1A,Eve,Let Me Blow Ya Mind
It Was the 80's,Larry Dane,27,123,,,02:45,88,71,0,3,88,10,10,-6,C,4,8B,Larry Dane,It Was the 80's
Hanging By A Moment,Lifehouse,66,125,post-grunge,Rock,03:36,54,86,0,0,50,0,0,-5,C♯/D♭,4,3B,Lifehouse,Hanging By A Moment
Let It Heal,The Paddle Boy,21,120,,,03:49,70,83,0,0,18,0,60,-7,B,4,1B,The Paddle Boy,Let It Heal
I Gotta Feeling,Black Eyed Peas,10,128,,,04:49,74,77,9,0,61,0,50,-6,C,4,8B,Black Eyed Peas,I Gotta Feeling
Small bird,Olga Neff,24,140,,,03:58,70,29,74,47,39,0,0,-19,G minor,4,6A,Olga Neff,Small bird
Baby,"Justin Bieber,Ludacris",85,65,southern hip hop,Hip Hop,03:34,73,86,4,0,54,10,10,-5,F minor,4,4A,Justin Bieber,Baby
Strange Summer,"Panagiotis Gourdoupis,Marios Charalampous",14,83,,,06:23,47,18,98,94,17,0,10,-15,G#/A♭,4,4B,Panagiotis Gourdoupis,Strange Summer
Luxurious,Gwen Stefani,69,131,,,04:24,81,73,15,0,67,0,10,-4,C,4,8B,Gwen Stefani,Luxurious
Hi Life,Yeps Official,12,145,psytrance,Electronic,06:30,76,76,1,77,52,0,0,-6,B,4,1B,Yeps Official,Hi Life
This Love,Maroon 5,1,95,pop,Pop,03:26,71,87,6,0,78,0,10,-5,F minor,4,4A,Maroon 5,This Love
Chasing That High,Zach Silva,14,138,surf rock,Rock,02:39,77,54,42,0,78,0,10,-6,C♯/D♭,4,3B,Zach Silva,Chasing That High
Pon de Replay,Rihanna,82,99,,,04:06,78,64,0,0,50,10,10,-8,G,4,9B,Rihanna,Pon de Replay
Breaking Chains,MIS,12,118,,,03:45,59,52,66,0,16,0,10,-6,G#/A♭ minor,4,1A,MIS,Breaking Chains
Down,"Jay Sean,Lil Wayne",9,66,"rap, hip hop",Hip Hop,03:32,66,70,1,0,68,0,0,-4,D,4,10B,Jay Sean,Down
A Shovel and a Lover,Keith and the Cockroaches,14,240,,,03:05,36,75,1,36,67,0,10,-5,F#/G♭ minor,3,11A,Keith and the Cockroaches,A Shovel and a Lover
Last Friday Night (T.G.I.F.),Katy Perry,78,126,pop,Pop,03:50,65,81,0,0,76,0,60,-4,D#/E♭ minor,4,2A,Katy Perry,Last Friday Night (T.G.I.F.)
LMK,"Increase,Kenneth Paige",13,92,,,02:59,71,47,38,0,16,10,10,-9,D,4,10B,Increase,LMK
Glamorous,"Fergie,Ludacris",73,131,southern hip hop,Hip Hop,04:06,81,76,29,0,63,20,0,-6,C,4,8B,Fergie,Glamorous
Holding on,"The Mysterious G,Christian Gustafsson",17,144,,,03:53,54,56,0,0,8,0,10,-10,A minor,4,8A,The Mysterious G,Holding on
I Don't Feel Like Dancin',Scissor Sisters,62,108,,,04:48,71,92,2,0,83,0,30,-3,G,4,9B,Scissor Sisters,I Don't Feel Like Dancin'
Crocodile Tears (dub),that's my J.A.M.,11,135,"bassline, uk garage",Electronic,03:35,75,82,38,0,55,20,20,-7,A#/B♭ minor,4,3A,that's my J.A.M.,Crocodile Tears (dub)
Gold Digger,"Kanye West,Jamie Foxx",82,93,"rap, ",Hip Hop,03:27,63,70,2,0,62,30,0,-6,C♯/D♭ minor,4,12A,Kanye West,Gold Digger
Coeur Dansant,Harbour District,5,130,"darkwave, post-punk","Electronic, Rock",04:51,47,88,3,0,46,0,10,-6,E minor,4,9A,Harbour District,Coeur Dansant
Hero,Enrique Iglesias,70,77,"latin pop, latin","Latin, Pop",04:24,35,64,14,0,16,0,10,-6,G,4,9B,Enrique Iglesias,Hero
Going Right Tonight,SmashLode,18,124,,,02:13,74,90,0,3,96,0,0,-6,F#/G♭,4,2B,SmashLode,Going Right Tonight
Beautiful Day,U2,76,136,rock,Rock,04:08,54,93,2,0,39,0,20,-6,B minor,4,10A,U2,Beautiful Day
Prayer for You,Bill Blankenship,28,156,,,03:41,43,39,9,0,46,0,80,-12,G,4,9B,Bill Blankenship,Prayer for You
In Da Club,50 Cent,84,90,east coast hip hop,Hip Hop,03:13,90,71,26,0,78,30,0,-3,F#/G♭ minor,4,11A,50 Cent,In Da Club
Summer Night (Live),Daniel Earl Jacobs,9,77,,,03:48,51,64,8,0,73,10,30,-12,C♯/D♭,4,3B,Daniel Earl Jacobs,Summer Night (Live)
Hollaback Girl,Gwen Stefani,74,110,,,03:19,93,92,35,0,90,0,0,-2,A#/B♭ minor,4,3A,Gwen Stefani,Hollaback Girl
Manifest,Kindatopia,25,95,,,02:37,59,73,15,0,83,0,20,-8,D,4,10B,Kindatopia,Manifest
Teenage Dream,Katy Perry,65,120,pop,Pop,03:47,72,80,2,0,59,0,10,-5,A#/B♭,4,6B,Katy Perry,Teenage Dream
Better Angels,Pete Price,13,79,,,04:01,50,39,85,0,31,0,10,-9,C,4,8B,Pete Price,Better Angels
Whatcha Say,Jason Derulo,75,144,,,03:41,62,71,4,0,71,0,10,-6,B,4,1B,Jason Derulo,Whatcha Say
Devil's Neck,Eric Van Zant,13,144,"christian country, southern rock, christian rock","Christian, Country, Rock",05:21,44,74,0,0,32,0,10,-5,F#/G♭,4,2B,Eric Van Zant,Devil's Neck
We Found Love,"Rihanna,Calvin Harris",86,128,edm,Electronic,03:35,74,77,3,0,60,0,10,-4,C♯/D♭,4,3B,Rihanna,We Found Love
Wild One,Hendrick Kaiser,18,160,,,04:07,45,87,0,0,45,10,30,-8,G#/A♭,4,4B,Hendrick Kaiser,Wild One
Locked out of Heaven,Bruno Mars,90,144,,,03:53,73,70,5,0,87,0,30,-4,F,4,7B,Bruno Mars,Locked out of Heaven
Hot N Cold,Katy Perry,80,132,pop,Pop,03:40,71,84,0,0,86,0,0,-4,G,4,9B,Katy Perry,Hot N Cold
Move It,BazUk,24,175,drum and bass,Electronic,03:43,66,95,1,5,58,30,30,-3,C,4,8B,BazUk,Move It
Royals,Lorde,81,85,,,03:10,67,43,12,0,34,10,10,-10,G,4,9B,Lorde,Royals
Crybaby (Daydreams),My Troubled Days,7,116,,,03:38,60,76,8,0,83,0,10,-7,A#/B♭ minor,4,3A,My Troubled Days,Crybaby (Daydreams)
Eye,Tynch,29,118,,,03:03,97,65,4,0,81,0,0,-7,F#/G♭ minor,3,11A,Tynch,Eye
I Love It (feat. Charli XCX),"Icona Pop,Charli xcx",67,126,"hyperpop, art pop","Pop, Electronic",02:37,71,91,1,0,82,0,10,-3,G#/A♭,4,4B,Icona Pop,I Love It (feat. Charli XCX)
Starships,Nicki Minaj,81,125,,,03:30,75,72,14,0,75,0,20,-2,B minor,4,10A,Nicki Minaj,Starships
Baptized,Jordan Anthonyy,7,146,,,03:32,68,92,12,0,46,20,50,-5,A,4,11B,Jordan Anthonyy,Baptized
Big Girls Don't Cry (Personal),Fergie,65,113,,,04:28,71,64,20,0,25,0,0,-4,G,4,9B,Fergie,Big Girls Don't Cry (Personal)
Let Me Breathe,CELINE,28,137,,,03:48,50,59,48,0,33,0,20,-8,B minor,4,10A,CELINE,Let Me Breathe
Pompeii,Bastille,77,127,,,03:34,68,72,8,0,57,0,20,-6,A,4,11B,Bastille,Pompeii
Where The Hell I Belong,Sten Veiths,26,120,,,03:46,55,45,17,0,15,0,10,-10,A minor,4,8A,Sten Veiths,Where The Hell I Belong
Saturday Night Arrival,DJ DeBrickahShaw Rocka Shocka Fiest,11,107,,,03:29,65,82,0,57,57,20,10,-5,A minor,4,8A,DJ DeBrickahShaw Rocka Shocka Fiest,Saturday Night Arrival
Team,Lorde,82,100,,,03:13,69,58,17,0,41,10,30,-7,F#/G♭,4,2B,Lorde,Team
APHRODITE,"VRN Drxw,Shordie Lo",16,142,,,03:46,64,59,20,0,16,0,10,-6,C,4,8B,VRN Drxw,APHRODITE
ONE SHOULD DO,Volker Keller,31,95,,,03:20,58,65,0,0,52,0,10,-8,G,4,9B,Volker Keller,ONE SHOULD DO
Airplanes (feat. Hayley Williams of Paramore),"B.o.B,Hayley Williams",65,93,art pop,Pop,03:00,66,87,11,0,38,10,0,-4,F#/G♭ minor,4,11A,B.o.B,Airplanes (feat. Hayley Williams of Paramore)
Looking,Frederic Grant,24,108,,,03:47,56,57,0,97,47,0,10,-13,E minor,4,9A,Frederic Grant,Looking
"Hey, Soul Sister",Train,87,97,soft pop,Pop,03:36,67,89,19,0,80,0,0,-4,C♯/D♭ minor,4,12A,Train,"Hey, Soul Sister"
Head over Heels,Moonlightpsych3712,13,140,,,02:35,63,67,0,0,15,0,10,-10,B minor,4,10A,Moonlightpsych3712,Head over Heels
Since U Been Gone,Kelly Clarkson,79,131,christmas,Pop,03:08,66,74,0,6,38,0,10,-5,A minor,4,8A,Kelly Clarkson,Since U Been Gone
Tú Eres Fiel,Joel Cruz,28,76,,,05:03,52,69,0,0,32,0,0,-10,C,4,8B,Joel Cruz,Tú Eres Fiel
We Are Young (feat. Janelle Monáe),"fun.,Janelle Monáe",81,184,alternative r&b,"Pop, R&B",04:10,38,64,2,0,74,0,0,-6,A#/B♭,4,6B,fun.,We Are Young (feat. Janelle Monáe)
Shut Up and Dance,WALK THE MOON,88,128,,,03:19,58,87,1,0,62,0,20,-4,C♯/D♭,4,3B,WALK THE MOON,Shut Up and Dance
SCREAMING,Hutcho,19,125,,,02:52,51,38,76,0,4,0,10,-9,C♯/D♭ minor,4,12A,Hutcho,SCREAMING
Domino,Jessie J,80,127,,,03:51,76,56,1,0,78,0,0,-5,G,4,9B,Jessie J,Domino
City Lights,Steen Rylander,15,200,,,04:41,38,95,0,5,40,30,30,-4,G minor,4,6A,Steen Rylander,City Lights
Wild Ones (feat. Sia),"Flo Rida,Sia",83,127,,,03:52,61,86,10,0,44,0,20,-5,F minor,4,4A,Flo Rida,Wild Ones (feat. Sia)
Randy candy,4160volts,15,78,,,02:47,34,72,0,0,54,0,10,-6,C♯/D♭ minor,4,12A,4160volts,Randy candy
Billionaire (feat. Bruno Mars),"Travie McCoy,Bruno Mars",76,87,,,03:31,63,67,30,0,66,20,20,-6,F#/G♭ minor,4,11A,Travie McCoy,Billionaire (feat. Bruno Mars)
Hypnautik,Disintegration C.E.,13,126,,,06:05,69,92,0,52,64,0,10,-4,C,4,8B,Disintegration C.E.,Hypnautik
Raise Your Glass,P!nk,79,122,,,03:22,70,71,0,0,62,0,0,-5,G,4,9B,P!nk,Raise Your Glass
No Me Toca,DayyWii,9,145,,,02:47,49,64,3,0,44,0,10,-7,A#/B♭ minor,4,3A,DayyWii,No Me Toca
Moves Like Jagger - Studio Recording From  The Voice  Performance,"Maroon 5,Christina Aguilera",84,128,"pop, ",Pop,03:21,72,76,1,0,62,0,30,-4,B minor,4,10A,Maroon 5,Moves Like Jagger
Not Godlike,Godkomplex,12,141,"industrial metal, industrial, ebm","Electronic, Rock, Metal",05:49,60,92,62,85,48,0,10,-8,G#/A♭,4,4B,Godkomplex,Not Godlike
Somebody That I Used To Know,"Gotye,Kimbra",84,129,,,04:04,87,52,55,0,75,0,10,-7,C,4,8B,Gotye,Somebody That I Used To Know
A Taste of Honey,Robert McGinty,25,169,,,02:00,32,19,59,0,92,0,20,-12,E minor,4,9A,Robert McGinty,A Taste of Honey
Crazy In Love (feat. JAY-Z),"Beyoncé,JAY-Z",84,99,"hip hop, east coast hip hop, rap",Hip Hop,03:55,66,76,0,0,70,20,0,-7,D minor,4,7A,Beyoncé,Crazy In Love (feat. JAY-Z)
The Chosen One,Godkomplex,11,106,"industrial metal, industrial, ebm","Electronic, Rock, Metal",02:43,45,99,0,13,11,10,10,-7,B minor,4,10A,Godkomplex,The Chosen One
Complicated,Avril Lavigne,85,78,,,04:04,59,78,6,0,43,0,30,-6,F,4,7B,Avril Lavigne,Complicated
Hell From Above,The Steve Klatt Project,18,141,progressive metal,Metal,04:12,47,93,0,0,62,0,20,-4,G,4,9B,The Steve Klatt Project,Hell From Above
Club Can't Handle Me (feat. David Guetta),"Flo Rida,David Guetta",83,128,"edm, dance",Electronic,03:54,62,87,3,0,47,0,0,-4,C,4,8B,Flo Rida,Club Can't Handle Me (feat. David Guetta)
Return to Lullaby Mountain,Robert McGinty,26,97,,,03:48,26,32,97,95,39,0,10,-11,C minor,3,5A,Robert McGinty,Return to Lullaby Mountain
Drive By,Train,84,122,soft pop,Pop,03:15,77,84,0,0,72,0,0,-3,C♯/D♭ minor,4,12A,Train,Drive By
Take Me Away,Sherise,20,119,,,03:38,88,50,10,1,77,0,10,-9,C♯/D♭,4,3B,Sherise,Take Me Away
Cool Kids,Echosmith,75,130,,,03:57,72,67,4,0,79,0,10,-6,G#/A♭,4,4B,Echosmith,Cool Kids
B Giez from the block (Soy Rica),B$nkPsy,7,99,,,02:32,87,44,19,0,63,20,20,-13,C♯/D♭,4,3B,B$nkPsy,B Giez from the block (Soy Rica)
Sound Fracture - (A past story of an alien invasion),NoNo,23,132,,,06:40,55,94,86,94,41,0,10,-11,C,4,8B,NoNo,Sound Fracture
Dancing in the Moonlight,Toploader,82,119,,,03:52,63,86,6,0,87,0,30,-3,A#/B♭,4,6B,Toploader,Dancing in the Moonlight
Sugar Rush,Nathan brown,20,106,,,03:20,84,40,13,0,61,0,10,-14,D,4,10B,Nathan brown,Sugar Rush
Time of Our Lives,"Pitbull,Ne-Yo",87,124,,,03:49,72,80,9,0,72,0,60,-6,C♯/D♭,4,3B,Pitbull,Time of Our Lives
Awaken,Monsters Are Human,26,122,,,03:59,47,75,0,0,26,0,60,-7,G,4,9B,Monsters Are Human,Awaken
Want to Want Me,Jason Derulo,79,114,,,03:27,78,68,1,0,66,0,10,-6,C minor,4,5A,Jason Derulo,Want to Want Me
NIGHT,FAME,13,122,,,03:03,82,46,0,0,67,0,0,-13,A minor,4,8A,FAME,NIGHT
